!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
"ignore	"@@ ig@@ n@@ ore
dinkerao	din@@ ke@@ rao
dinosaur	din@@ o@@ sa@@ ur
dioica	di@@ o@@ ica
dion	di@@ on
dioscorea	di@@ os@@ co@@ re@@ a
diplomacy	di@@ p@@ lo@@ ma@@ cy
dipper	di@@ p@@ per
dipterocarpus	di@@ p@@ ter@@ oc@@ ar@@ pus
diq	di@@ q
dir	di@@ r
direction	di@@ re@@ ction
directors	di@@ re@@ ct@@ ors
disambig	dis@@ ambi@@ g
disambiguation	dis@@ ambi@@ gu@@ ation
disaster	dis@@ a@@ ster
disasters	dis@@ a@@ ster ⧺s
disclaimer	dis@@ cla@@ im@@ er
discoveries	dis@@ co@@ ver@@ ies
discovery	dis@@ co@@ ver@@ y
discussion/dated	dis@@ c@@ us@@ si@@ on/@@ dated
disease	dis@@ e@@ as@@ e
diseasesdb2	dis@@ e@@ as@@ es@@ d@@ b@@ 2
disha	disha
disorder	dis@@ order
disorders	dis@@ order ⧺s
display	dis@@ pla@@ y
dispur	dis@@ pur
dispute	dis@@ pu@@ te
dissonance	dis@@ son@@ ance
distinguish	dis@@ tin@@ gu@@ ish
distributions	dis@@ tri@@ but@@ i@@ ons
district	district
district,	district,
districts	district ⧺s
diu	di@@ u
div	di@@ v
divan-ballubhai	di@@ van@@ -@@ bal@@ lu@@ bhai
divas	di@@ va@@ s
divbox	div@@ box
divetia	di@@ ve@@ tia
diving	div@@ ing
division	division
divisions	division ⧺s
divisor	di@@ vis@@ or
divya	div@@ ya
diwali	di@@ w@@ ali
diwaliben	di@@ w@@ ali@@ ben
diwan	di@@ wan
diwas	di@@ was
dixit	di@@ x@@ it
diyodar	di@@ y@@ odar
djibouti	d@@ ji@@ bo@@ ut@@ i
djokovic	d@@ jo@@ ko@@ vi@@ c
djsasso	d@@ j@@ s@@ ass@@ o
dmitri	d@@ mi@@ tri
dmy	d@@ my
dnyaneshwar	d@@ n@@ yan@@ eshwar
dnyaneshwari	d@@ n@@ yan@@ e@@ shwari
doab	do@@ a@@ b
doc	doc
documentation	documentation
documentation/config	documentation/@@ config
documentation/core	documentation/@@ core
documentation/core2	documentation/@@ co@@ re@@ 2
documentation/docname	documentation/@@ do@@ c@@ name
documentation/end	documentation/@@ end
documentation/id2	documentation/@@ id@@ 2
documentation/preload	documentation/@@ pre@@ lo@@ ad
documentation/start	documentation/@@ start
documentation/template	documentation/@@ template
documentation/title	documentation/@@ title
doda	do@@ da
doddabetta	do@@ d@@ da@@ bet@@ ta
dog	do@@ g
dogra	do@@ g@@ ra
dogri	do@@ g@@ ri
doha	do@@ ha
doi	doi
dolarrai	dol@@ ar@@ rai
dolatpar	dol@@ at@@ par
dollar	dol@@ lar
dolls	dol@@ l@@ s
dolpa	dol@@ pa
domain	do@@ main
dome	do@@ me
domestic	do@@ me@@ st@@ ic
dominica	do@@ min@@ ica
dominican	do@@ min@@ ican
don	don
don't	don@@ '@@ t
donald	don@@ ald
donation	don@@ ation
done	d@@ one
dong	d@@ ong
donor	don@@ or
doodhpak	do@@ o@@ dh@@ pa@@ k
dooj	do@@ oj
doon	do@@ on
doon?	do@@ on@@ ?
doordarshan	do@@ or@@ dar@@ sha@@ n
doot	do@@ ot
dorabji	do@@ ra@@ b@@ ji
doraemon	do@@ ra@@ em@@ on
dosa	do@@ sa
doshi	do@@ shi
doti	d@@ ot@@ i
dove	do@@ ve
down	do@@ wn
dowry	do@@ w@@ ry
dragonbot	dra@@ gon@@ bot
drama	dra@@ ma
drang-drung	d@@ rang@@ -@@ d@@ r@@ un@@ g
drashti	dra@@ sh@@ ti
draupadi	dra@@ up@@ adi
dravida	dra@@ vi@@ da
draw	dra@@ w
drenthe	d@@ ren@@ the
dried	d@@ ri@@ ed
drink	d@@ rin@@ k
drive	d@@ ri@@ ve
dron	d@@ r@@ on
drona	d@@ ron@@ a
drongo	d@@ ron@@ go
dropped	dro@@ p@@ pe@@ d
drought	dro@@ u@@ ght
drug	d@@ ru@@ g
druhyus	d@@ ru@@ hy@@ us
drupada	d@@ rup@@ ada
dsb	d@@ s@@ b
dts	d@@ ts
dubious	du@@ bi@@ o@@ us
dubla	du@@ b@@ la
dubnium	du@@ b@@ ni@@ um
duck	du@@ ck
dudhaganga	d@@ ud@@ ha@@ ganga
dudhala	d@@ ud@@ ha@@ la
dudhsagar	du@@ dh@@ sagar
dudík	d@@ ud@@ í@@ k
dugarwadi	du@@ gar@@ w@@ adi
duhsala	du@@ h@@ s@@ ala
dukkadam	du@@ k@@ kad@@ am
dula	d@@ ula
dulcis	d@@ ul@@ ci@@ s
duleepsinhji	du@@ le@@ ep@@ sinhji
dumara,	d@@ um@@ ara,
dumas	du@@ ma@@ s
dumka	d@@ um@@ ka
dumkhal	d@@ um@@ kha@@ l
dummytab	d@@ um@@ my@@ ta@@ b
dungar	d@@ ung@@ ar
dungarpur	d@@ un@@ gar@@ pur
dungra	d@@ ung@@ ra
dungri	d@@ ung@@ ri
duplicate	du@@ p@@ lic@@ ate
durango	dur@@ ang@@ o
duration	dur@@ ation
durazno	du@@ ra@@ z@@ no
durg	dur@@ g
durga	dur@@ ga
durgawati	dur@@ ga@@ wati
duronto	dur@@ on@@ to
durvasa	dur@@ vas@@ a
duryodhana	dur@@ yo@@ dh@@ ana
dushasana	d@@ us@@ has@@ ana
dust	d@@ us@@ t
dutch	d@@ utch
dutch-language	d@@ utch@@ -@@ language
dutt	d@@ ut@@ t
dutta	d@@ ut@@ ta
dvapara	d@@ va@@ para
dvija	d@@ vi@@ ja
dw	d@@ w
dwadashi	d@@ w@@ ada@@ shi
dwarka	d@@ war@@ ka
dwarkadhish	d@@ war@@ k@@ adh@@ ish
dwitiya	d@@ wit@@ iya
dwivedi	d@@ w@@ ivedi
dyal	dy@@ al
dyas	d@@ yas
dynamics	dy@@ nam@@ ics
dynamite	dy@@ nam@@ ite
dynasties	dynast@@ ies
dynasty	dynasty
dyslexia	dy@@ s@@ le@@ x@@ ia
dysprosium	dy@@ s@@ pro@@ si@@ um
dzong	d@@ z@@ ong
déjà	d@@ é@@ j@@ à
e-commerce	e@@ -@@ com@@ mer@@ ce
e-dhara	e@@ -@@ dhara
eagle	e@@ ag@@ le
ear	e@@ ar
early	ear@@ ly
earth	ear@@ th
earthquake	ear@@ th@@ qu@@ ak@@ e
east	east
eastern	e@@ a@@ stern
eb1911	e@@ b@@ 19@@ 11
echinochloa	e@@ chin@@ o@@ ch@@ lo@@ a
echis	e@@ chi@@ s
ecohydrology	e@@ co@@ hy@@ dro@@ logy
economic	econ@@ o@@ mic
economics	econ@@ o@@ mic ⧺s
economists	econ@@ om@@ ists
economy	econ@@ om@@ y
ecosystem	e@@ co@@ system
ecuador	e@@ cu@@ ad@@ or
ed	ed
eden	e@@ den
edgar	e@@ d@@ g@@ ar
edible	edi@@ ble
edison	e@@ dis@@ on
edit	edit
editathon	edi@@ t@@ ath@@ on
editatwikidata	edi@@ t@@ at@@ wikidata
editing	edi@@ ting
editnotice	edit@@ not@@ ice
editor's	edi@@ tor@@ 's
edits	edit ⧺s
educa33e	edu@@ ca@@ 3@@ 3@@ e
education	educ@@ ation
educational	educ@@ ation@@ al
educators	edu@@ cat@@ ors
edward	e@@ d@@ ward
effective	ef@@ fe@@ ctive
effects	ef@@ fe@@ ct@@ s
effeietsanders	ef@@ fe@@ i@@ et@@ sand@@ ers
efn	ef@@ n
efn-ua	ef@@ n@@ -@@ ua
egg	eg@@ g
eggplant	eg@@ g@@ plant
egypt	eg@@ ypt
eid	e@@ id
eiffel	e@@ i@@ ff@@ el
einstein	e@@ in@@ stein
einsteinium	e@@ in@@ ste@@ in@@ ium
eisenberg	e@@ is@@ en@@ ber@@ g
either	e@@ it@@ h@@ er
eivindgh	e@@ iv@@ ind@@ gh
ejaculation	e@@ ja@@ c@@ ul@@ ation
ek	ek
ekadashi	ek@@ ada@@ shi
ekalavya	ek@@ ala@@ v@@ ya
ekanamsha	e@@ kan@@ am@@ sha
ekka	ek@@ ka
eklingji	ek@@ ling@@ ji
eknath	ek@@ nath
el	el
ela	ela
election	election
election/row	ele@@ cti@@ on/@@ row
election/shortname	ele@@ cti@@ on/@@ short@@ name
electors	ele@@ ct@@ ors
electric	elec@@ tri@@ c
electrolysis	elec@@ tr@@ ol@@ y@@ sis
electromagnetic	elec@@ tro@@ mag@@ ne@@ tic
electromyography	elec@@ tr@@ om@@ y@@ ography
electron	elec@@ tron
electronvolt	elec@@ tr@@ on@@ vol@@ t
electroplating	elec@@ trop@@ lat@@ ing
element	el@@ ement
elementary	el@@ em@@ ent@@ ary
elements	el@@ ement ⧺s
eleocharis	ele@@ o@@ ch@@ ari@@ s
elephant	ele@@ ph@@ ant
elephanta	ele@@ ph@@ an@@ ta
eleusine	ele@@ us@@ ine
elevator	ele@@ vat@@ or
eleven	ele@@ ven
eliminated	e@@ li@@ min@@ ated
elizabeth	e@@ li@@ za@@ be@@ th
ell2	ell@@ 2
elland	el@@ land
ellioti	el@@ li@@ ot@@ i
elliptica	el@@ li@@ p@@ tic@@ a
ellis	el@@ lis
ellison	ell@@ is@@ on
ellora	ell@@ ora
elon	el@@ on
eluru	el@@ uru
em	em
emacs	e@@ ma@@ c@@ s
email	e@@ ma@@ il
emausbot	e@@ ma@@ us@@ bot
embassy	em@@ bas@@ s@@ y
emblem	emb@@ le@@ m
emblems	emb@@ le@@ m ⧺s
emblica	emb@@ l@@ ica
eme	em@@ e
emergency	em@@ er@@ gen@@ cy
emergency-bot-shutoff	em@@ er@@ gen@@ cy@@ -@@ bot@@ -@@ sh@@ ut@@ o@@ f@@ f
emijrp/list	em@@ i@@ j@@ r@@ p@@ /@@ list
emission	em@@ is@@ sion
emperors	em@@ per@@ ors
empire	empire
empiricism	empir@@ ic@@ ism
employment	emp@@ lo@@ y@@ ment
empty	emp@@ ty
emptyor	emp@@ ty@@ or
emu	em@@ u
en	en
en-2	en@@ -@@ 2
en-3	en@@ -@@ 3
en-4	en@@ -@@ 4
en-gb	en@@ -@@ g@@ b
en-in	en@@ -@@ in
en-n	en@@ -@@ n
en-us-4	en@@ -@@ us@@ -@@ 4
encode	en@@ code
encyclopaedia	en@@ cyc@@ lo@@ pa@@ e@@ dia
encyclopedia	en@@ cyc@@ lo@@ pe@@ dia
encyclopedias	en@@ cyc@@ lo@@ pe@@ dia ⧺s
encyclopædia	en@@ cyc@@ lop@@ æ@@ dia
end	end
endangered	end@@ ang@@ er@@ ed
endflowlist	end@@ flo@@ w@@ list
endswith	end@@ s@@ with
energy	en@@ er@@ g@@ y
engels	eng@@ el@@ s
engine	eng@@ ine
engineer	engine@@ er
engineering	engineering
engineering,	engine@@ er@@ ing@@ ,
engines	eng@@ ine ⧺s
england	eng@@ land
english	english
english-language	english@@ -@@ language
enron	en@@ r@@ on
ensure	en@@ s@@ ure
entertainment	ent@@ er@@ tain@@ ment
entity	ent@@ ity
entomology	en@@ to@@ mo@@ logy
entrepreneurship	en@@ tre@@ pr@@ en@@ eur@@ ship
entries	en@@ tries
entry	en@@ try
enum	en@@ um
environment	en@@ vir@@ on@@ ment
environmental	en@@ vir@@ on@@ m@@ ental
eo	e@@ o
ephedrine	e@@ ph@@ e@@ d@@ r@@ ine
epilepsy	e@@ pil@@ ep@@ s@@ y
episode	ep@@ is@@ ode
equality	e@@ qu@@ ality
equatorial	e@@ qu@@ at@@ ori@@ al
equinox	e@@ qu@@ in@@ o@@ x
era	era
erbium	er@@ bi@@ um
erdemaslancan	er@@ de@@ mas@@ lan@@ c@@ an
erection	er@@ e@@ ction
eric	er@@ ic
eritrea	er@@ i@@ tr@@ ea
erkan	er@@ kan
ernakulam	er@@ na@@ ku@@ lam
erode	er@@ ode
erp	er@@ p
error	error
error-small	error@@ -@@ smal@@ l
errors	error ⧺s
erythrina	er@@ y@@ th@@ r@@ ina
eryx	er@@ y@@ x
es	es
es-1	es@@ -@@ 1
escarbot	es@@ car@@ bot
eschatology	es@@ ch@@ ato@@ logy
escher	es@@ cher
esculenta	es@@ c@@ ul@@ en@@ ta
esha	e@@ sha
esotericism	es@@ ot@@ er@@ ic@@ ism
essar	es@@ sar
esselworld	es@@ sel@@ world
esther	est@@ h@@ er
estimation	est@@ im@@ ation
estonia	est@@ on@@ ia
estonian	est@@ on@@ ian
eswatini	es@@ wat@@ ini
etah	eta@@ h
etawah	eta@@ wa@@ h
ethane	eth@@ an@@ e
ethanol	eth@@ an@@ ol
ether	eth@@ er
ethernet	e@@ ther@@ net
ethics	eth@@ ics
ethiopia	ethi@@ op@@ ia
ethiopian	ethi@@ op@@ ian
ethiopic	ethi@@ op@@ ic
ethipothala	ethi@@ pot@@ ha@@ la
ethnic	eth@@ ni@@ c
ethnologue16	eth@@ no@@ lo@@ gu@@ e@@ 16
ethnologue19	eth@@ no@@ lo@@ gu@@ e@@ 19
ethylene	eth@@ y@@ l@@ en@@ e
etiolation	e@@ ti@@ ol@@ ation
eucalyptus	eu@@ cal@@ y@@ pt@@ us
euclid	eu@@ c@@ li@@ d
eudynamys	e@@ ud@@ y@@ nam@@ y@@ s
euindex	eu@@ inde@@ x
euphemism	eu@@ ph@@ em@@ ism
euphemisms	eu@@ ph@@ em@@ ism ⧺s
eurasia	e@@ ura@@ sia
eurasian	e@@ ura@@ sian
euro	eur@@ o
europe	europe
europium	europ@@ ium
eustatius	eu@@ st@@ ati@@ us
euthanasia	eu@@ than@@ asia
eva	e@@ va
eve	e@@ ve
event	ev@@ ent
events	ev@@ ent ⧺s
everest	e@@ ver@@ est
everton	e@@ ver@@ ton
evolution	e@@ vol@@ ution
ewood	e@@ wo@@ od
example	ex@@ am@@ ple
excel	ex@@ c@@ el
exchange	exchange
exchanges	exchange ⧺s
exclamation	ex@@ cla@@ m@@ ation
exclusion	ex@@ c@@ l@@ us@@ ion
execution	ex@@ e@@ c@@ ution
exercise	ex@@ er@@ c@@ ise
exorcism	ex@@ or@@ c@@ ism
expand	ex@@ p@@ and
expanded	ex@@ pan@@ ded
experiment	ex@@ per@@ iment
experiments	ex@@ per@@ iment ⧺s
expiry	ex@@ pir@@ y
explanation	ex@@ plan@@ ation
exploration	ex@@ p@@ l@@ or@@ ation
expo	ex@@ p@@ o
express	express
expressways	ex@@ pre@@ ss@@ wa@@ y@@ s
external	ex@@ ter@@ nal
extinction	ex@@ tin@@ ction
extract	ex@@ tra@@ ct
extract/in	ex@@ tra@@ ct@@ /@@ in
extraterrestrial	ex@@ tr@@ at@@ er@@ re@@ s@@ tri@@ al
eye	e@@ ye
ezra	e@@ z@@ ra
f.	f@@ .
f.c.	f.c.
f1	f@@ 1
fa	fa
facebook	f@@ ac@@ e@@ book
factbook	fa@@ ct@@ book
fadesga	fa@@ de@@ s@@ ga
fagani	f@@ ag@@ ani
fagu	f@@ ag@@ u
fahmida	f@@ ah@@ mi@@ da
failed	fa@@ il@@ ed
failure	fa@@ il@@ ure
fair	fa@@ ir
faizabad	fa@@ i@@ za@@ bad
fajrbot	fa@@ j@@ r@@ bot
fake	f@@ ak@@ e
falaknuma	f@@ ala@@ k@@ num@@ a
falguni	f@@ al@@ gun@@ i
falkland	f@@ al@@ k@@ land
falls	falls
falooda	f@@ al@@ o@@ oda
family	family
famine	fam@@ ine
fantail	f@@ an@@ ta@@ il
faq	fa@@ q
fareda	far@@ e@@ da
faridabad	f@@ ari@@ dabad
faridkot	f@@ ari@@ d@@ kot
faridkot,	f@@ ari@@ d@@ kot@@ ,
fariduddin	f@@ ari@@ d@@ uddin
farm	far@@ m
farming	f@@ arm@@ ing
faroe	far@@ o@@ e
farokh	far@@ o@@ kh
farrukhabad	far@@ ru@@ kha@@ bad
farsan	far@@ san
fashion	f@@ ash@@ ion
faso	f@@ as@@ o
fast	f@@ ast
fasting	fa@@ st@@ ing
fat	f@@ at
fateh	fate@@ h
fatehgadh	fate@@ h@@ gadh
fatehgarh	fate@@ h@@ garh
fatehpur	fate@@ h@@ pur
fatehpur,	fate@@ h@@ pur,
father	f@@ ath@@ er
fatima	f@@ ati@@ ma
fatsar	f@@ at@@ sar
fauna	fa@@ una
fb	f@@ b
fb-big	f@@ b@@ -@@ bi@@ g
fc	f@@ c
fdw	f@@ d@@ w
featured	fe@@ atur@@ ed
february	february
fedara	fe@@ d@@ ara
federal	fe@@ de@@ ral
federated	feder@@ ated
federation	feder@@ ation
federative	feder@@ ative
federer	feder@@ er
fedex	fe@@ de@@ x
fei	fe@@ i
feluda	f@@ el@@ u@@ da
female	f@@ em@@ ale
feng	f@@ en@@ g
fennel	f@@ en@@ nel
fenugreek	f@@ en@@ u@@ gre@@ ek
ferguson	fer@@ gu@@ son
fermium	fer@@ mium
feroze	fer@@ o@@ z@@ e
fertilisers	fer@@ t@@ il@@ is@@ ers
festivals	fe@@ st@@ iv@@ al@@ s
fever	fe@@ ver
ffd	ff@@ d
fi	fi
fibonacci	fi@@ bo@@ na@@ c@@ c@@ i
fiction	fic@@ tion
fictional	fic@@ ti@@ on@@ al
ficus	fic@@ us
fidel	fi@@ de@@ l
field	field
fifa	fi@@ fa
fig	fi@@ g
figures	fi@@ gur@@ es
figures/rnd	fi@@ gur@@ es@@ /@@ r@@ n@@ d
fiji	fi@@ ji
file	file
files	file ⧺s
filipino	fil@@ i@@ pin@@ o
film	film
filmfare	fil@@ m@@ far@@ e
films	film ⧺s
filter	fil@@ ter
finance	fin@@ ance
financial	fin@@ anci@@ al
find0	f@@ ind@@ 0
finger	finger
finland	fin@@ land
fiorentina	fi@@ or@@ ent@@ ina
firangi	fir@@ ang@@ i
fire	fir@@ e
firearms	fir@@ e@@ arm@@ s
firefly	fi@@ re@@ fl@@ y
firibot	fi@@ ri@@ bot
firozpur	fir@@ o@@ z@@ pur
first	first
first-person	first@@ -@@ person
firsts	first ⧺s
fiscal	f@@ is@@ c@@ al
fish	f@@ ish
fishing	f@@ ish@@ ing
fistula	f@@ ist@@ ula
five	f@@ ive
flag	flag
flag/core	fla@@ g@@ /core
flagbio	fla@@ g@@ bi@@ o
flagdeco	fla@@ g@@ dec@@ o
flagdeco/core	fla@@ g@@ de@@ co@@ /core
flagicon	flag@@ icon
flagicon/core	fla@@ g@@ ic@@ on/@@ core
flagioc2	fla@@ gi@@ oc@@ 2
flags	flag ⧺s
flameback	fla@@ me@@ back
flamingo	fla@@ m@@ ing@@ o
flammability	fla@@ m@@ ma@@ bility
flanders	f@@ lan@@ ders
flash	fla@@ sh
flatlist	fl@@ at@@ list
flatlist/microformat	fl@@ at@@ l@@ ist@@ /@@ micro@@ for@@ ma@@ t
flattened	fl@@ att@@ en@@ ed
flax	fla@@ x
fleming	fl@@ em@@ ing
flemish	fl@@ em@@ ish
flevoland	f@@ le@@ v@@ o@@ land
flight	f@@ light
flood	flo@@ od
florida	fl@@ ori@@ da
flower	flo@@ wer
flowers	flo@@ wer ⧺s
flowlist	flo@@ w@@ list
floyd	flo@@ y@@ d
flu	fl@@ u
fluorine	f@@ lu@@ or@@ ine
flycatcher	fly@@ cat@@ cher
flying	fly@@ ing
fmbox	f@@ m@@ box
fodder	fo@@ d@@ der
fog	fo@@ g
folk	folk
font	f@@ on@@ t
food	food
foods	food ⧺s
fools'	fo@@ ol@@ s@@ '
football	football
footer	foot@@ er
footer/tracking	foot@@ er@@ /@@ tra@@ ck@@ ing
footnotes	foot@@ not@@ es
for	for
forbes	for@@ b@@ es
force	force
force/core	for@@ c@@ e/@@ core
ford	for@@ d
foreign	for@@ e@@ ign
forest	for@@ est
forests	for@@ est ⧺s
format	for@@ ma@@ t
formatnum	for@@ mat@@ n@@ um
former	for@@ mer
forms	for@@ ms
fort	fort
fort,	for@@ t,
forts	fort ⧺s
forum	for@@ um
fossil	fo@@ s@@ sil
fotu	fo@@ tu
foundation	fo@@ un@@ dat@@ ion
fourier	fo@@ ur@@ i@@ er
fox	fo@@ x
foxbot	fo@@ x@@ bot
foxie001	fo@@ x@@ i@@ e@@ 0@@ 0@@ 1
fr	f@@ r
fr-n	f@@ r@@ -@@ n
fra	f@@ ra
fracture	fra@@ ct@@ ure
france	france
franchise	fran@@ ch@@ ise
franchising	fran@@ ch@@ is@@ ing
francis	fran@@ ci@@ s
francisco	fran@@ c@@ is@@ co
francium	fran@@ ci@@ um
francolin	fran@@ co@@ li@@ n
frank	fran@@ k
frank5308000	fran@@ k@@ 5@@ 3@@ 0@@ 8@@ 0@@ 0@@ 0
frankfurt	fran@@ k@@ f@@ ur@@ t
franz	fran@@ z
freddie	fre@@ d@@ di@@ e
frederick	fre@@ der@@ ic@@ k
free	free
freelandgunj	fre@@ e@@ land@@ gun@@ j
french-language	f@@ ren@@ ch@@ -@@ language
friday	f@@ ri@@ day
friesland	f@@ ri@@ es@@ land
from	from
front/meta/color	fron@@ t/@@ meta/color
fruit	f@@ ru@@ it
frumentacea	f@@ rum@@ en@@ ta@@ c@@ ea
fuel	fu@@ el
fulay,	fu@@ la@@ y,
fulka	ful@@ ka
fulki	ful@@ ki
full	ful@@ l
fullbasepagename	ful@@ l@@ base@@ page@@ name
fullerene	ful@@ ler@@ en@@ e
fullrootpagename	ful@@ l@@ ro@@ ot@@ page@@ name
functions	f@@ un@@ ctions
fund	f@@ und
fundamental	f@@ un@@ dam@@ ental
furniture	f@@ ur@@ nit@@ ure
fuski	f@@ us@@ ki
g.	g@@ .
gabon	ga@@ b@@ on
gabriel	ga@@ bri@@ el
gada	g@@ ada
gadag	gad@@ a@@ g
gadag-betageri	gad@@ a@@ g@@ -@@ bet@@ ag@@ eri
gadchiroli	gad@@ ch@@ ir@@ oli
gaddafi	gad@@ da@@ fi
gadhada	gadha@@ da
gadhakda	gadha@@ k@@ da
gadhavi	gadha@@ vi
gadhia,	gad@@ hi@@ a,
gadhvi	gad@@ h@@ vi
gadit	ga@@ dit
gadolinium	gad@@ ol@@ in@@ ium
gaekwad	ga@@ ek@@ wad
gaekwar's	ga@@ ek@@ war@@ 's
gag	ga@@ g
gaga	g@@ ag@@ a
gagan	g@@ ag@@ an
gagodar	g@@ ag@@ odar
gagron	g@@ ag@@ r@@ on
gain	ga@@ in
gajah	ga@@ ja@@ h
gajana	ga@@ jana
gajansar	ga@@ jan@@ sar
gajanvav	ga@@ jan@@ vav
gajapati	ga@@ ja@@ pati
gajender	ga@@ j@@ end@@ er
galilei	gal@@ il@@ e@@ i
galileo	gal@@ il@@ e@@ o
gallbladder	g@@ all@@ bla@@ d@@ der
galle	gal@@ le
gallery	g@@ all@@ er@@ y
gallery/aux	g@@ all@@ er@@ y/@@ au@@ x
galliformes	gal@@ li@@ for@@ me@@ s
gallium	gal@@ lium
galpadar	gal@@ pad@@ ar
galteshwar	gal@@ te@@ shwar
gama	gam@@ a
gambhir	gam@@ bh@@ ir
gambia	gam@@ bia
gambling	gam@@ b@@ ling
game	gam@@ e
games	gam@@ e ⧺s
gamgul	gam@@ gu@@ l
gamit	gam@@ it
gana	gana
ganadhara	gana@@ dhara
ganatra	gan@@ atra
gandaki	gan@@ da@@ ki
gandevi	gan@@ devi
gandhara	gan@@ dhara
gandharpale	gan@@ dhar@@ pal@@ e
gandhi	gandhi
gandhidham	gandhi@@ dham
gandhidham–palanpur	gan@@ dh@@ id@@ ham@@ –@@ palanpur
gandhinagar	gandhi@@ nagar
ganesan	gan@@ es@@ an
ganesh	gan@@ esh
ganesha	gan@@ e@@ sha
gang	gan@@ g
ganga	ganga
gangadhar	ganga@@ dhar
gangadharpur	gang@@ ad@@ har@@ pur
ganganagar	ganga@@ nagar
gangasati	gang@@ as@@ ati
ganges	gang@@ es
gangleri	gang@@ l@@ eri
gangotri	gang@@ o@@ tri
gangster	gang@@ ster
gangtok	gang@@ to@@ k
gangubai	gan@@ gu@@ bai
ganj	ganj
ganjam	gan@@ ja@@ m
ganjawala	gan@@ ja@@ wala
ganjshakar	gan@@ j@@ sha@@ kar
ganpat	gan@@ pat
ganpatsinh	gan@@ pat@@ sinh
ganthiya	gan@@ th@@ iya
gaps	ga@@ ps
garam	g@@ aram
garba	gar@@ ba
garcinia	gar@@ cin@@ ia
garden	garden
gardens	garden ⧺s
garga	gar@@ ga
gargi	gar@@ g@@ i
garhwa	garh@@ wa
garhwal	garh@@ wal
garhwali	garh@@ w@@ ali
gariadhar	gar@@ i@@ ad@@ har
garibaldi	gar@@ i@@ bal@@ di
garjiya	gar@@ j@@ iya
garlic	gar@@ lic
garo	gar@@ o
gary	g@@ ary
gas	gas
gate	g@@ ate
gates	g@@ ate ⧺s
gateway	g@@ ate@@ way
gaudio	gau@@ dio
gaudiya	gau@@ diya
gauge	gau@@ ge
gauge/data	gau@@ ge@@ /@@ data
gauge/extra	gau@@ ge@@ /@@ ex@@ tra
gaurav	ga@@ ura@@ v
gauri	ga@@ uri
gauriganj,	ga@@ ur@@ i@@ gan@@ j@@ ,
gaurishankar	ga@@ uri@@ shankar
gautam	ga@@ ut@@ am
gautama	ga@@ ut@@ ama
gavaskar	ga@@ vas@@ kar
gaya	ga@@ ya
gaya,	ga@@ ya,
gayakwad	ga@@ ya@@ k@@ wad
gayatri	ga@@ y@@ atri
gazipur	ga@@ z@@ ipur
gbm4ibx	g@@ b@@ m@@ 4@@ i@@ b@@ x
gbmappingsmall	g@@ b@@ map@@ p@@ ing@@ smal@@ l
gedi,	ge@@ di@@ ,
gehlot	ge@@ h@@ lo@@ t
gelderland	g@@ el@@ der@@ land
gemini	g@@ em@@ ini
gender	g@@ end@@ er
general	gen@@ e@@ ral
generation	gen@@ er@@ ation
genesis	gen@@ es@@ is
genital	gen@@ ital
genre	gen@@ re
genres	gen@@ re ⧺s
geo-stub	ge@@ o@@ -@@ stub
geobox	geo@@ box
geobox2	geobox2
geographic	ge@@ ogra@@ phi@@ c
geography	geography
geogroup	ge@@ og@@ ro@@ up
geological	geo@@ logical
geologist	geo@@ log@@ ist
geometry	geo@@ me@@ try
george	geor@@ ge
george,	geor@@ ge@@ ,
georgia	geor@@ gia
georgian	geor@@ gi@@ an
georgiaphysiology	geor@@ gia@@ phy@@ si@@ ology
geosouthasia	geo@@ so@@ ut@@ ha@@ sia
geotemplate	geo@@ template
geotemplate/lang	geo@@ templ@@ at@@ e/@@ lang
german	ger@@ man
german-language	ger@@ man@@ -@@ language
germanium	german@@ ium
germany	german@@ y
gestapo	ge@@ st@@ ap@@ o
gestational	ge@@ st@@ ation@@ al
get	ge@@ t
gezer	ge@@ z@@ er
gfdl	g@@ f@@ d@@ l
ghadhasaru	gha@@ dha@@ sar@@ u
ghaghara	gha@@ gh@@ ara
ghalib	gha@@ li@@ b
ghana	gh@@ ana
ghanashyam	gh@@ ana@@ sh@@ yam
ghandla	gh@@ and@@ la
ghangad	gh@@ ang@@ ad
ghanshyam	ghan@@ sh@@ yam
ghanshyamsinh	ghan@@ sh@@ yam@@ sinh
ghar	g@@ har
ghari	gh@@ ari
gharial	gh@@ ari@@ al
gharib	gh@@ ari@@ b
ghat	ghat
ghati	gh@@ ati
ghatlodiya	gh@@ at@@ lo@@ diya
ghatotkacha	gh@@ at@@ ot@@ kach@@ a
ghats	ghat ⧺s
ghavri	gha@@ v@@ ri
ghayal	gha@@ y@@ al
ghazal	gha@@ z@@ al
ghaziabad	gha@@ zi@@ abad
ghaziabad,	gha@@ zi@@ ab@@ ad@@ ,
ghed	gh@@ ed
ghee	gh@@ e@@ e
ghela	gh@@ ela
ghelo	gh@@ el@@ o
ghelubhai	gh@@ el@@ ubhai
gheranda	gh@@ er@@ anda
ghia	gh@@ ia
ghodbunder	gh@@ od@@ bun@@ der
ghodi	gho@@ di
ghogha	gho@@ gh@@ a
ghor	gh@@ or
ghosh	gho@@ sh
ghoshal	gho@@ sha@@ l
