!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
"ignore	"IGNORE	_"ignore
chandiya	CHANDIYA	_chandiya
chandpuri	CHAND PURI	_chand || _puri
chandra	CHANDRA	_chandra
chandraghanta	CHANDRAGHANTA	_chandraghanta
chandragupta	CHANDRA GUPTA	_chandra || _gupta
chandrak	CHANDRAK	_chandrak
chandrakant	CHANDRAKANT	_chandrakant
chandraprabha	CHANDRAPRABHA	_chandraprabha
chandrapur	CHANDRAPUR	_chandrapur
chandrasekhar	CHANDRASEKHAR	_chandrasekhar
chandrashekarendra	CHANDRASHEKARENDRA	_chandrashekarendra
chandravadan	CHANDRAVADAN	_chandravadan
chandrayaan-1	CHANDRAYAAN 1	_chandrayaan || _1
chandrayaan-2	CHANDRAYAAN 2	_chandrayaan || _2
chandroda	CHAND RODA	_chand || _roda
chandubhai	CHANDUBHAI	_chandubhai
changa,	CHANGA,	_changa,
changeable	CHANGEABLE	_changeable
changlang	CHANGLANG	_changlang
channel	CHANNEL	_channel
channels	CHANNEL +(s)	_channel +s
chanod,	CHANOD,	_chanod,
chaplin	CHAPLIN	_chaplin
chapora	CHAPORA	_chapora
char	CHAR	_char
character	CHARACTER	_character
character/wikidata	CHARACTER/WIKIDATA	_character/wikidata
characters	CHARACTER +(s)	_character +s
charaka	CHARAKA	_charaka
charan	CHARAN	_charan
charantia	CHARANTIA	_charantia
charents	CHARENTS	_charents
charge	CHARGE	_charge
chari	CHARI	_chari
chari-dhand	CHARI DHAND	_chari || _dhand
charitamrita	CHARITAMRITA	_charitamrita
charkha	CHARKHA	_charkha
charkop	CHARKOP	_charkop
charles	CHARLES	_charles
charles,	CHARLES,	_charles,
charlie	CHARLIE	_charlie
charodi,	CHARODI,	_charodi,
chart	CHART	_chart
chart/celsius	CHART/CELSIUS	_chart/celsius
chart/end	CHART/END	_chart/end
chart/fahrenheit	CHART/FAHRENHEIT	_chart/fahrenheit
chart/slice	CHART/SLICE	_chart/slice
chart/start	CHART/START	_chart/start
chashmah	CHASHMAH	_chashmah
chatra	CHATRA	_chatra
chatterjee	CHATTERJEE	_chatterjee
chaturdashi	CHATURDASHI	_chaturdashi
chaturthi	CHATURTHI	_chaturthi
chaturvedi	CHATURVEDI	_chaturvedi
chaubey	CHAUBEY	_chaubey
chaudhari	CHAUDHARI	_chaudhari
chaudhary	CHAUDHARY	_chaudhary
chaudhuri	CHAUDHURI	_chaudhuri
chauhan	CHAUHAN	_chauhan
chaulukya	CHAULUKYA	_chaulukya
chaura	CHAURA	_chaura
chaurasi	CHAURASI	_chaurasi
chaurasia	CHAURASIA	_chaurasia
chauri	CHAURI	_chauri
chausath	CHAUSATH	_chausath
chauta	CHAUTA	_chauta
chavand,	CHAVAND,	_chavand,
chavda	CHAVDA	_chavda
chawinda	CHAWINDA	_chawinda
chawl	CHAWL	_chawl
chawla	CHAWLA	_chawla
che	CHE	_che
cheatsheet	CHEATSHEET	_cheatsheet
chebi	CHEBI	_chebi
check	CHECK	_check
chedi	CHEDI	_chedi
cheese	CHEESE	_cheese
cheetah	CHEETAH	_cheetah
chekhov	CHEKHOV	_chekhov
chekitana	CHEKITANA	_chekitana
chelsea	CHELSEA	_chelsea
chem	CHEM	_chem
chem/atom	CHEM/ATOM	_chem/atom
chem/link	CHEM/LINK	_chem/link
chembl	CHEMBL	_chembl
chembox	CHEMBOX	_chembox
chemical	CHEMICAL	_chemical
chemicals	CHEMICAL +(s)	_chemical +s
chemistry	CHEMISTRY	_chemistry
chen-ning	CHEN NING	_chen || _ning
chenab	CHENAB	_chenab
chennai	CHENNAI	_chennai
cherrapunji	CHERRAPUNJI	_cherrapunji
cherry	CHERRY	_cherry
chess	CHESS	_chess
chester	CHESTER	_chester
chestnut-breasted	CHESTNUT BREASTED	_chestnut || _breasted
chetak	CHETAK	_chetak
chetan	CHETAN	_chetan
cheteshwar	CHETESHWAR	_cheteshwar
cheti	CHETI	_cheti
chhabildas	CHHABILDAS	_chhabildas
chhalala	CHHALALA	_chhalala
chhapaiya	CHHAPAIYA	_chhapaiya
chhapi	CHHAPI	_chhapi
chhatarpur	CHHATARPUR	_chhatarpur
chhatrapati	CHHATRAPATI	_chhatrapati
chhatrapur	CHHATRAPUR	_chhatrapur
chhatri	CHHATRI	_chhatri
chhatri,	CHHATRI,	_chhatri,
chhattisgarh	CHHATTISGARH	_chhattisgarh
chhattisgarhi	CHHATTISGARHI	_chhattisgarhi
chhaya	CHHAYA	_chhaya
chhaya,	CHHAYA,	_chhaya,
chheda	CHHEDA	_chheda
chhel	CHHEL	_chhel
chhello	CHHELLO	_chhello
chher	CHHER	_chher
chhetri	CHHETRI	_chhetri
chhindwara	CHHINDWARA	_chhindwara
chhinnapatra	CHHINNAPATRA	_chhinnapatra
chhota	CHHOTA	_chhota
chhotalal	CHHOTALAL	_chhotalal
chhuikhadan	CHHUIKHADAN	_chhuikhadan
chhundo	CHHUNDO	_chhundo
chi	CHI	_chi
chiapas	CHIAPAS	_chiapas
chichen	CHICHEN	_chichen
chickpea	CHICKPEA	_chickpea
chidambaram	CHIDAMBARAM	_chidambaram
chief	CHIEF	_chief
chihuahua	CHIHUAHUA	_chihuahua
chijgam	CHIJGAM	_chijgam
chikhaldara	CHIKHALDARA	_chikhaldara
chikhali,	CHIKHALI,	_chikhali,
chikhli,	CHIKHLI,	_chikhli,
chikhodra	CHIKHODRA	_chikhodra
chikkaballapura	CHIKKABALLAPURA	_chikkaballapura
chikmagalur	CHIKMAGALUR	_chikmagalur
child	CHILD	_child
childbirth	CHILD BIRTH	_child || _birth
childhood	CHILDHOOD	_childhood
children's	CHILDREN'S	_children's
chile	CHILE	_chile
chilean	CHILEAN	_chilean
chili	CHILI	_chili
chimanbhai	CHIMANBHAI	_chimanbhai
chimanlal	CHIMANLAL	_chimanlal
china	CHINA	_china
chinai	CHINAI	_chinai
china–nepal	CHINA–NEPAL	_china–nepal
chinese	CHINESE	_chinese
chinese/korean	CHINESE/KOREAN	_chinese/korean
ching	CHING	_ching
chinkara	CHINKARA	_chinkara
chinsurah	CHINSURAH	_chinsurah
chinu	CHINU	_chinu
chipko	CHIPKO	_chipko
chir	CHIR	_chir
chiragh	CHIRAGH	_chiragh
chirai	CHIRAI	_chirai
chiranjivi	CHIRANJIVI	_chiranjivi
chirmiri	CHIRMIRI	_chirmiri
chitkul	CHITKUL	_chitkul
chitra	CHITRA	_chitra
chitradurga	CHITRA DURGA	_chitra || _durga
chitrakoot	CHITRAKOOT	_chitrakoot
chitrakoot,	CHITRAKOOT,	_chitrakoot,
chitrakote	CHITRAKOTE	_chitrakote
chitralekha	CHITRALEKHA	_chitralekha
chitravav	CHITRAVAV	_chitravav
chitrod	CHITROD	_chitrod
chitrāngada	CHITRĀNGADA	_chitrāngada
chitrāngadā	CHITRĀNGADĀ	_chitrāngadā
chittagong	CHITTAGONG	_chittagong
chittaranjan	CHITTARANJAN	_chittaranjan
chittoor	CHITTOOR	_chittoor
chittoor,	CHITTOOR,	_chittoor,
chittorgarh	CHITTORGARH	_chittorgarh
chlorine	CHLORINE	_chlorine
chlorophyll	CHLOROPHYLL	_chlorophyll
cho	CHO	_cho
chobari	CHOBARI	_chobari
chobari,	CHOBARI,	_chobari,
chobot	CHOBOT	_chobot
chogath	CHOGATH	_chogath
choghadiya	CHOGHADIYA	_choghadiya
chok	CHOK	_chok
chok,	CHOK,	_chok,
chokdi	CHOKDI	_chokdi
chola	CHOLA	_chola
chomsky	CHOMSKY	_chomsky
chopda	CHOPDA	_chopda
chopra	CHOPRA	_chopra
chorla	CHORLA	_chorla
chorvad	CHORVAD	_chorvad
chota	CHOTA	_chota
chotila	CHOTILA	_chotila
chowdhry	CHOWDHRY	_chowdhry
chowdhury	CHOWDHURY	_chowdhury
chowk	CHOWK	_chowk
christ	CHRIST	_christ
christadelphians	CHRISTADELPHIANS	_christadelphians
christchurch	CHRIST CHURCH	_christ || _church
christianity	CHRISTIANITY	_christianity
christie	CHRISTIE	_christie
christmas	CHRISTMAS	_christmas
chromatophore	CHROMATOPHORE	_chromatophore
chrome	CHROME	_chrome
chromium	CHROMIUM	_chromium
chuda	CHUDA	_chuda
chudasama	CHUDASAMA	_chudasama
chuni	CHUNI	_chuni
chunilal	CHUNILAL	_chunilal
chunnilal	CHUNNILAL	_chunnilal
churachandpur	CHURACHANDPUR	_churachandpur
church	CHURCH	_church
churu	CHURU	_churu
chutney	CHUTNEY	_chutney
cia	CIA	_cia
cid	CID	_cid
cinderella	CINDERELLA	_cinderella
cinema	CINEMA	_cinema
cineraria	CINERARIA	_cineraria
cinnamon	CINNAMON	_cinnamon
circa	CIRCA	_circa
circle	CIRCLE	_circle
circles	CIRCLE +(s)	_circle +s
circulatory	CIRCULATORY	_circulatory
circumference	CIRCUMFERENCE	_circumference
cisco	CISCO	_cisco
citation	CITATION	_citation
citation/core	CITATION/CORE	_citation/core
citation/cs1	CITATION/CS1	_citation/cs1
citation/cs1/coins	CITATION/CS1/COINS	_citation/cs1/coins
citation/cs1/configuration	CITATION/CS1/CONFIGURATION	_citation/cs1/configuration
citation/cs1/date	CITATION/CS1/DATE	_citation/cs1/date
citation/cs1/identifiers	CITATION/CS1/IDENTIFIERS	_citation/cs1/identifiers
citation/cs1/suggestions	CITATION/CS1/SUGGESTIONS	_citation/cs1/suggestions
citation/cs1/utilities	CITATION/CS1/UTILITIES	_citation/cs1/utilities
citation/cs1/whitelist	CITATION/CS1/WHITELIST	_citation/cs1/whitelist
citation/identifier	CITATION/IDENTIFIER	_citation/identifier
citation/make	CITATION/MAKE	_citation/make
citation/patent	CITATION/PATENT	_citation/patent
citations	CITATION +(s)	_citation +s
cite	CITE	_cite
cities	CITIES	_cities
citigroup	CITIGROUP	_citigroup
citing	CITING	_citing
citron	CITRON	_citron
citrus	CITRUS	_citrus
city	CITY	_city
civet	CIVET	_civet
civil	CIVIL	_civil
civile	CIVILE	_civile
civilian	CIVILIAN	_civilian
civilisation	CIVILISATION	_civilisation
civilization	CIVILIZATION	_civilization
clade	CLADE	_clade
clans	CLANS	_clans
clarify	CLARIFY	_clarify
clashes	CLASHES	_clashes
class	CLASS	_class
class/colour	CLASS/COLOUR	_class/colour
class/column	CLASS/COLUMN	_class/column
classical	CLASSICAL	_classical
cleanup	CLEANUP	_cleanup
clear	CLEAR	_clear
click	CLICK	_click
clickable	CLICKABLE	_clickable
climate	CLIMATE	_climate
climbing	CLIMBING	_climbing
clinton	CLINTON	_clinton
clock	CLOCK	_clock
closed	CLOSED	_closed
clothing	CLOTHING	_clothing
cloud	CLOUD	_cloud
cloudburst	CLOUDBURST	_cloudburst
clove	CLOVE	_clove
club	CLUB	_club
cmain	CMAIN	_cmain
cmbox	CMBOX	_cmbox
cnone	CNONE	_cnone
coahuila	COAHUILA	_coahuila
coal	COAL	_coal
coast	COAST	_coast
coaxial	COAXIAL	_coaxial
cobalt	COBALT	_cobalt
coca-cola	COCA COLA	_coca || _cola
coccinia	COCCINIA	_coccinia
cochlear	COCHLEAR	_cochlear
coconut	COCONUT	_coconut
cocos	COCOS	_cocos
cocu	COCU	_cocu
cocubot	COCUBOT	_cocubot
code	CODE	_code
coexistence	COEXISTENCE	_coexistence
cognitive	COGNITIVE	_cognitive
coimbatore	COIMBATORE	_coimbatore
coins	COINS	_coins
coking	COKING	_coking
col	COL	_col
col-4	COL 4	_col || _4
col-begin	COL BEGIN	_col || _begin
col-break	COL BREAK	_col || _break
col-end	COL END	_col || _end
colaba	COLABA	_colaba
coldplay	COLDPLAY	_coldplay
colima	COLIMA	_colima
collapse	COLLAPSE	_collapse
collapsible	COLLAPSIBLE	_collapsible
collared	COLLARED	_collared
collector	COLLECTOR	_collector
collectorate	COLLECTORATE	_collectorate
college	COLLEGE	_college
colleges	COLLEGE +(s)	_college +s
colocasia	COLOCASIA	_colocasia
colombia	COLOMBIA	_colombia
colombo	COLOMBO	_colombo
colon	COLON	_colon
colona	COLONA	_colona
colony	COLONY	_colony
color	COLOR	_color
colorado	COLORADO	_colorado
colors	COLOR +(s)	_color +s
colort/colorshort	COLORT/COLORSHORT	_colort/colorshort
colosseum	COLOSSEUM	_colosseum
colour	COLOUR	_colour
columbia	COLUMBIA	_columbia
columbia,	COLUMBIA,	_columbia,
columbidae	COLUMBIDAE	_columbidae
column	COLUMN	_column
column-count	COLUMN COUNT	_column || _count
columns	COLUMN +(s)	_column +s
columns-list	COLUMN +(s) LIST	_column +s || _list
combined	COMBINED	_combined
combustibility	COMBUSTIBILITY	_combustibility
comet	COMET	_comet
comics	COMICS	_comics
comma	COMMA	_comma
command	COMMAND	_command
commission	COMMISSION	_commission
committee/welcome	COMMITTEE/WELCOME	_committee/welcome
common	COMMON	_common
common.css	COMMON.CSS	_common.css
commons	COMMON +(s)	_common +s
commons-inline	COMMON +(s) INLINE	_common +s || _inline
commonwealth	COMMON WEALTH	_common || _wealth
communication	COMMUNICATION	_communication
communications	COMMUNICATION +(s)	_communication +s
communist	COMMUNIST	_communist
community	COMMUNITY	_community
comoros	COMOROS	_comoros
companies	COMPANIES	_companies
company	COMPANY	_company
compass	COMPASS	_compass
competition	COMPETITION	_competition
competitive	COMPETITIVE	_competitive
complex	COMPLEX	_complex
components	COMPONENTS	_components
compost	COMPOST	_compost
computer	COMPUTER	_computer
computers	COMPUTER +(s)	_computer +s
computing	COMPUTING	_computing
concentration	CONCENTRATION	_concentration
conch	CONCH	_conch
concorde	CONCORDE	_concorde
condanarus	CONDANARUS	_condanarus
condiments	CONDIMENTS	_condiments
condition	CONDITION	_condition
condom	CONDOM	_condom
cone	CONE	_cone
conference	CONFERENCE	_conference
conflict	CONFLICT	_conflict
confucianism	CONFUCIANISM	_confucianism
confucius	CONFUCIUS	_confucius
congo	CONGO	_congo
congress	CONGRESS	_congress
congress/meta/color	CONGRESS/META/COLOR	_congress/meta/color
conicus	CONICUS	_conicus
connacht	CONNACHT	_connacht
connected	CONNECTED	_connected
connecticut	CONNECTICUT	_connecticut
conquests	CONQUESTS	_conquests
consciousness	CONSCIOUSNESS	_consciousness
conservation	CONSERVATION	_conservation
conspiracy	CONSPIRACY	_conspiracy
constant	CONSTANT	_constant
constantinople	CONSTANTINOPLE	_constantinople
constellation	CONSTELLATION	_constellation
constipation	CONSTIPATION	_constipation
constituencies	CONSTITUENCIES	_constituencies
constituency	CONSTITUENCY	_constituency
constitution	CONSTITUTION	_constitution
construction	CONSTRUCTION	_construction
containing	CONTAINING	_containing
contains	CONTAINS	_contains
contemporary	CONTEMPORARY	_contemporary
content	CONTENT	_content
contents	CONTENT +(s)	_content +s
contest	CONTEST	_contest
continent	CONTINENT	_continent
contrast	CONTRAST	_contrast
contrast/colors	CONTRAST/COLORS	_contrast/colors
contrib	CONTRIB	_contrib
contributor	CONTRIBUTOR	_contributor
control	CONTROL	_control
controversies	CONTROVERSIES	_controversies
conversion	CONVERSION	_conversion
convert	CONVERT	_convert
convert/data	CONVERT/DATA	_convert/data
convert/documentation	CONVERT/DOCUMENTATION	_convert/documentation
convert/extra	CONVERT/EXTRA	_convert/extra
convert/list	CONVERT/LIST	_convert/list
convert/text	CONVERT/TEXT	_convert/text
convert/wikidata	CONVERT/WIKIDATA	_convert/wikidata
convert/wikidata/data	CONVERT/WIKIDATA/DATA	_convert/wikidata/data
convertabbrev	CONVERTABBREV	_convertabbrev
convertabbrev/iso	CONVERTABBREV/ISO	_convertabbrev/iso
convinfobox	CONVINFOBOX	_convinfobox
convinfobox/pri2	CONVINFOBOX/PRI2	_convinfobox/pri2
convinfobox/sec2	CONVINFOBOX/SEC2	_convinfobox/sec2
cooch	COOCH	_cooch
cookbook	COOKBOOK	_cookbook
coonoor	COONOOR	_coonoor
cooperation	COOPERATION	_cooperation
cooperative	COOPERATIVE	_cooperative
cooperatives	COOPERATIVE +(s)	_cooperative +s
coor	COOR	_coor
coord	COORD	_coord
coord-doc-dim	COORD DOC DIM	_coord || _doc || _dim
coord/dec2dms	COORD/DEC2DMS	_coord/dec2dms
coord/dec2dms/dm	COORD/DEC2DMS/DM	_coord/dec2dms/dm
coord/display/title	COORD/DISPLAY/TITLE	_coord/display/title
coord/dms2dec	COORD/DMS2DEC	_coord/dms2dec
coord/input/d	COORD/INPUT/D	_coord/input/d
coord/input/error	COORD/INPUT/ERROR	_coord/input/error
coord/prec	COORD/PREC	_coord/prec
coord/sub	COORD/SUB	_coord/sub
coordinate	COORDINATE	_coordinate
coordinates	COORDINATE +(s)	_coordinate +s
coordination	COORDINATION	_coordination
coot	COOT	_coot
copernicium	COPERNICIUM	_copernicium
copper	COPPER	_copper
coppersmith	COPPER SMITH	_copper || _smith
copy	COPY	_copy
copyright	COPY RIGHT	_copy || _right
copyrights	COPYRIGHT +(s)	_copyright +s
coracana	CORACANA	_coracana
corbett	CORBETT	_corbett
corbin	CORBIN	_corbin
cordia	CORDIA	_cordia
core	CORE	_core
coriander	CORIANDER	_coriander
cormorant	CORMORANT	_cormorant
corocoro	COROCORO	_corocoro
corporation	CORPORATION	_corporation
corporations	CORPORATION +(s)	_corporation +s
correct	CORRECT	_correct
correlative	CORRELATIVE	_correlative
corruption	CORRUPTION	_corruption
corvus	CORVUS	_corvus
corylifolia	CORYLIFOLIA	_corylifolia
cosmetics	COSMETICS	_cosmetics
costa	COSTA	_costa
cotton	COTTON	_cotton
coucal	COUCAL	_coucal
councils	COUNCILS	_councils
count	COUNT	_count
countries	COUNTRIES	_countries
country	COUNTRY	_country
country/autocat	COUNTRY/AUTOCAT	_country/autocat
country/imagetable	COUNTRY/IMAGETABLE	_country/imagetable
countryabbr	COUNTRY ABBR	_country || _abbr
countryabbr2	COUNTRYABBR2	_countryabbr2
county	COUNTY	_county
couroupita	COUROUPITA	_couroupita
course,	COURSE,	_course,
court	COURT	_court
courtney	COURTNEY	_courtney
cover	COVER	_cover
covers	COVER +(s)	_cover +s
cowpea	COWPEA	_cowpea
cr-gsw-jt	CR GSW JT	_cr || _gsw || _jt
crab	CRAB	_crab
craig	CRAIG	_craig
crane	CRANE	_crane
cream	CREAM	_cream
create	CREATE	_create
created	CREATED	_created
creative	CREATIVE	_creative
crecurring	CRECURRING	_crecurring
credit	CREDIT	_credit
creek	CREEK	_creek
cref2	CREF2	_cref2
cress	CRESS	_cress
crested	CRESTED	_crested
cricket	CRICKET	_cricket
cricketer	CRICKETER	_cricketer
cricketer/career	CRICKETER/CAREER	_cricketer/career
cricketer/national	CRICKETER/NATIONAL	_cricketer/national
cricketers	CRICKETER +(s)	_cricketer +s
criminal	CRIMINAL	_criminal
cripps	CRIPPS	_cripps
crisis	CRISIS	_crisis
critic	CRITIC	_critic
croatia	CROATIA	_croatia
croatian	CROATIAN	_croatian
crocodile	CROCODILE	_crocodile
crohn's	CROHN'S	_crohn's
cromā	CROMĀ	_cromā
crop	CROP	_crop
crore	CRORE	_crore
cross	CROSS	_cross
crow	CROW	_crow
crowned	CROWNED	_crowned
cryptography	CRYPTOGRAPHY	_cryptography
crystal	CRYSTAL	_crystal
cs	CS	_cs
cs1	CS1	_cs1
cs2	CS2	_cs2
csb	CSB	_csb
css	CSS	_css
css3	CSS3	_css3
cuaxdon	CUAXDON	_cuaxdon
cuba	CUBA	_cuba
cube	CUBE	_cube
cubic	CUBIC	_cubic
cuckoo	CUCKOO	_cuckoo
cuckooshrike	CUCKOOSHRIKE	_cuckooshrike
cucumber	CUCUMBER	_cucumber
cuddalore	CUDDALORE	_cuddalore
cuisine	CUISINE	_cuisine
culture	CULTURE	_culture
cumin	CUMIN	_cumin
cumini	CUMINI	_cumini
cuore	CUORE	_cuore
cup	CUP	_cup
cupcake	CUPCAKE	_cupcake
curium	CURIUM	_curium
curlie	CURLIE	_curlie
currency	CURRENCY	_currency
current	CURRENT	_current
curry	CURRY	_curry
cut	CUT	_cut
cuttack	CUTTACK	_cuttack
cutting	CUTTING	_cutting
cvt	CVT	_cvt
cycle	CYCLE	_cycle
cycling	CYCLING	_cycling
cyclist	CYCLIST	_cyclist
cyclone	CYCLONE	_cyclone
cyclones	CYCLONE +(s)	_cyclone +s
cyclonic	CYCLONIC	_cyclonic
cyezbot	CYEZBOT	_cyezbot
cynodon	CYNODON	_cynodon
cyprus	CYPRUS	_cyprus
cyril	CYRIL	_cyril
cyrus	CYRUS	_cyrus
czech	CZECH	_czech
czechoslovakia	CZECHOSLOVAKIA	_czechoslovakia
d.	D.	_d.
d.c.	D.C.	_d.c.
da	DA	_da
dabeli	DABELI	_dabeli
dabhoi	DABHOI	_dabhoi
dabhosa	DABHOSA	_dabhosa
dabur	DABUR	_dabur
dachigam	DACHIGAM	_dachigam
dactylon	DACTYLON	_dactylon
dada	DADA	_dada
dadabhai	DADA BHAI	_dada || _bhai
dadar	DADAR	_dadar
dadasaheb	DADASAHEB	_dadasaheb
dadawala	DADAWALA	_dadawala
dadeldhura	DADELDHURA	_dadeldhura
dadoo	DADOO	_dadoo
dadra	DADRA	_dadra
dadra,	DADRA,	_dadra,
dagdi	DAGDI	_dagdi
dagger	DAGGER	_dagger
dagli	DAGLI	_dagli
dahanu	DAHANU	_dahanu
dahegam	DAHEGAM	_dahegam
dahi	DAHI	_dahi
dahida	DAHIDA	_dahida
dahir	DAHIR	_dahir
dahisar	DAHISAR	_dahisar
dahiwala	DAHIWALA	_dahiwala
dahiya	DAHIYA	_dahiya
dahod	DAHOD	_dahod
dahomey	DAHOMEY	_dahomey
dai	DAI	_dai
dai-minsar	DAI MINSAR	_dai || _minsar
dailekh	DAILEKH	_dailekh
daily	DAILY	_daily
dairy	DAIRY	_dairy
dakor	DAKOR	_dakor
dakota	DAKOTA	_dakota
daksha	DAKSHA	_daksha
dakshin	DAKSHIN	_dakshin
dakshina	DAKSHINA	_dakshina
daku	DAKU	_daku
dal	DAL	_dal
dal/meta/color	DAL/META/COLOR	_dal/meta/color
dalal	DALAL	_dalal
dalbergia	DALBERGIA	_dalbergia
dalbergioides	DALBERGIOIDES	_dalbergioides
dalhousie,	DALHOUSIE,	_dalhousie,
dalichand	DALICHAND	_dalichand
dalit	DALIT	_dalit
dallas	DALLAS	_dallas
dalpatbhai	DALPATBHAI	_dalpatbhai
dalpatram	DALPATRAM	_dalpatram
dam	DAM	_dam
daman	DAMAN	_daman
daman,	DAMAN,	_daman,
damani	DAMANI	_damani
damodar	DAMODAR	_damodar
damodaran	DAMODARAN	_damodaran
damoh	DAMOH	_damoh
damor	DAMOR	_damor
dams	DAM +(s)	_dam +s
dance	DANCE	_dance
dances	DANCE +(s)	_dance +s
dandi	DANDI	_dandi
dandi,	DANDI,	_dandi,
dandiya	DANDIYA	_dandiya
dang	DANG	_dang
daniel	DANIEL	_daniel
danny	DANNY	_danny
danta	DANTA	_danta
danta,	DANTA,	_danta,
dantewada	DANTEWADA	_dantewada
dantiwada	DANTIWADA	_dantiwada
daphla	DAPHLA	_daphla
darbhanga	DARBHANGA	_darbhanga
darchula	DARCHULA	_darchula
darev	DAREV	_darev
dariapur	DARIAPUR	_dariapur
darjeeling	DARJEELING	_darjeeling
darji	DARJI	_darji
darkicebot	DARKICEBOT	_darkicebot
darma	DARMA	_darma
darmstadtium	DARMSTADTIUM	_darmstadtium
darrah	DARRAH	_darrah
darrang	DARRANG	_darrang
darshan	DARSHAN	_darshan
darshana	DARSHANA	_darshana
dart	DART	_dart
darter	DARTER	_darter
darul	DARUL	_darul
darwaza	DARWAZA	_darwaza
darwin	DARWIN	_darwin
darśana	DARŚANA	_darśana
das	DAS	_das
dasa	DASA	_dasa
dash	DASH	_dash
dashami	DASHAMI	_dashami
dasharatha	DASHARATHA	_dasharatha
dashavatara	DASHAVATARA	_dashavatara
daskroi	DASKROI	_daskroi
data	DATA	_data
data/documentation	DATA/DOCUMENTATION	_data/documentation
data/scripts	DATA/SCRIPTS	_data/scripts
date	DATE	_date
dated	DATED	_dated
datei18n	DATE I18N	_date || _i18n
dates	DATE +(s)	_date +s
datia	DATIA	_datia
datrana	DATRANA	_datrana
dattatreya	DATTATREYA	_dattatreya
dausa	DAUSA	_dausa
davanagere	DAVANAGERE	_davanagere
davar	DAVAR	_davar
dave	DAVE	_dave
david	DAVID	_david
davy	DAVY	_davy
dawki	DAWKI	_dawki
dawkins	DAWKINS	_dawkins
day	DAY	_day
dayadra	DAYADRA	_dayadra
dayal	DAYAL	_dayal
dayananda	DAYANANDA	_dayananda
dayaram	DAYARAM	_dayaram
days	DAY +(s)	_day +s
db	DB	_db
dcljr	DCLJR	_dcljr
dd	DD	_dd
de	DE	_de
de!	DE!	_de!
de-1	DE 1	_de || _1
de-2	DE 2	_de || _2
dead	DEAD	_dead
deadly	DEADLY	_deadly
deadmau5	DEADMAU5	_deadmau5
deaglebot	DEAGLEBOT	_deaglebot
death	DEATH	_death
deathly	DEATHLY	_deathly
deaths	DEATH +(s)	_death +s
debagarh	DEBAGARH	_debagarh
debian	DEBIAN	_debian
debsa	DEBSA	_debsa
dec	DEC	_dec
decade	DECADE	_decade
deccan	DECCAN	_deccan
december	DECEMBER	_december
decimals	DECIMALS	_decimals
declaration	DECLARATION	_declaration
decorations	DECORATIONS	_decorations
decreasepositive	DECREASEPOSITIVE	_decreasepositive
dediapada	DEDIAPADA	_dediapada
dediyapada	DEDIYAPADA	_dediyapada
dee	DEE	_dee
deedat	DEEDAT	_deedat
deekshabhoomi	DEEKSHABHOOMI	_deekshabhoomi
deendayal	DEENDAYAL	_deendayal
deepak	DEEPAK	_deepak
deepika	DEEPIKA	_deepika
deer	DEER	_deer
deesa	DEESA	_deesa
defamation	DEFAMATION	_defamation
defence	DEFENCE	_defence
defn	DEFN	_defn
deforestation	DEFORESTATION	_deforestation
degam	DEGAM	_degam
degree/bachelor	DEGREE/BACHELOR	_degree/bachelor
degree/bsc	DEGREE/BSC	_degree/bsc
dehat	DEHAT	_dehat
dehlavi	DEHLAVI	_dehlavi
dehradun	DEHRADUN	_dehradun
deities	DEITIES	_deities
deity	DEITY	_deity
deity/wikidata	DEITY/WIKIDATA	_deity/wikidata
del	DEL	_del
delaware	DELAWARE	_delaware
deletion	DELETION	_deletion
deletion/dated	DELETION/DATED	_deletion/dated
delhi	DELHI	_delhi
delink	DELINK	_delink
delirium	DELIRIUM	_delirium
delphi	DELPHI	_delphi
delta	DELTA	_delta
delvada	DELVADA	_delvada
dementia	DEMENTIA	_dementia
demi	DEMI	_demi
democracy	DEMOCRACY	_democracy
democratic	DEMOCRATIC	_democratic
demography	DEMOGRAPHY	_demography
demoiselle	DEMOISELLE	_demoiselle
demotemplate	DEMOTEMPLATE	_demotemplate
dengue	DENGUE	_dengue
denmark	DENMARK	_denmark
dennis	DENNIS	_dennis
denniss	DENNIS +(s)	_dennis +s
denpasar	DENPASAR	_denpasar
density	DENSITY	_density
dentures	DENTURES	_dentures
denzongpa	DENZONGPA	_denzongpa
deoband	DEOBAND	_deoband
deoghar	DEOGHAR	_deoghar
deoria	DEORIA	_deoria
dependencies	DEPENDENCIES	_dependencies
dependent	DEPENDENT	_dependent
depletion	DEPLETION	_depletion
deprecated	DEPRECATED	_deprecated
depressive	DEPRESSIVE	_depressive
deputy	DEPUTY	_deputy
derby	DERBY	_derby
derol	DEROL	_derol
des	DES	_des
desai	DESAI	_desai
desalination	DESALINATION	_desalination
desalpar	DESALPAR	_desalpar
desam	DESAM	_desam
description	DESCRIPTION	_description
desert	DESERT	_desert
deserts	DESERT +(s)	_desert +s
deshmukh	DESHMUKH	_deshmukh
desi	DESI	_desi
design	DESIGN	_design
designation	DESIGNATION	_designation
designation/colour	DESIGNATION/COLOUR	_designation/colour
designation/divbox	DESIGNATION/DIVBOX	_designation/divbox
designation/text	DESIGNATION/TEXT	_designation/text
destination	DESTINATION	_destination
