!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
પહેલા	પ@@ હે@@ લા
ફરેડા	ફ@@ રે@@ ડા
ફારસી	ફ@@ ાર@@ સી
બંગલા	બ@@ ંગ@@ લા
બંગલો	બ@@ ંગ@@ લો
બક્સર	બ@@ ક્@@ સર
બક્સા	બ@@ ક્@@ સા
બખરલા	બ@@ ખર@@ લા
બઘેલી	બ@@ ઘે@@ લી
બચાવો	બ@@ ચા@@ વો
બજાણા	બ@@ જા@@ ણા
બત્તી	બ@@ ત્@@ તી
બદામી	બ@@ દા@@ મી
બધેકા	બ@@ ધે@@ કા
બન્ની	બ@@ ન્@@ ની
બરોડા	બ@@ રો@@ ડા
બહુચર	બ@@ હુ@@ ચર
બહેડો	બ@@ હે@@ ડો
ભદોહી	ભ@@ દો@@ હી
ભમરડો	ભ@@ મર@@ ડો
ભરણું	ભ@@ રણ@@ ું
ભવાની	ભ@@ વા@@ ની
મકરંદ	મ@@ કર@@ ંદ
મકાજી	મ@@ કા@@ જી
મક્કા	મ@@ ક્@@ કા
મગોડી	મ@@ ગો@@ ડી
મટાણા	મ@@ ટા@@ ણા
મડેલા	મ@@ ડે@@ લા
મદીના	મ@@ દી@@ ના
મનાંગ	મ@@ ના@@ ંગ
મનાલી	મ@@ ના@@ લી
મન્ટો	મ@@ ન્@@ ટો
મરોલી	મ@@ રો@@ લી
મલાલા	મ@@ લા@@ લા
મસાલા	મ@@ સા@@ લા
મસાલો	મ@@ સા@@ લો
મસૂરી	મ@@ સૂ@@ રી
મહોબા	મ@@ હો@@ બા
યમુના	ય@@ મુ@@ ના
યયાતિ	ય@@ યા@@ તિ
યશોદા	ય@@ શો@@ દા
રણાસણ	ર@@ ણા@@ સણ
રસુવા	ર@@ સુ@@ વા
લખાતી	લ@@ ખા@@ તી
લખેલી	લ@@ ખે@@ લી
લટોરો	લ@@ ટો@@ રો
લલેડુ	લ@@ લે@@ ડુ
લવિંગ	લ@@ વિ@@ ંગ
લસિકા	લ@@ સિ@@ કા
વટાણા	વ@@ ટા@@ ણા
વટામણ	વ@@ ટા@@ મણ
વડેલી	વ@@ ડે@@ લી
વરુણા	વ@@ રુ@@ ણા
વરોરા	વ@@ રો@@ રા
વસાવા	વ@@ સા@@ વા
વ્રતો	વ@@ ્ર@@ તો
શકુની	શ@@ કુ@@ ની
શહાદા	શ@@ હા@@ દા
શારદા	શ@@ ાર@@ દા
સટાણા	સ@@ ટા@@ ણા
સત્તા	સ@@ ત્@@ તા
સદીના	સ@@ દી@@ ના
સનેડો	સ@@ ને@@ ડો
સન્ધિ	સ@@ ન્@@ ધિ
સન્ની	સ@@ ન્@@ ની
સમીરા	સ@@ મી@@ રા
સમોસા	સ@@ મો@@ સા
સયાજી	સ@@ યા@@ જી
સરિતા	સ@@ રિ@@ તા
સલાયા	સ@@ લા@@ યા
સલોટા	સ@@ લો@@ ટા
સસલું	સ@@ સલ@@ ું
સહરસા	સ@@ હર@@ સા
સહાની	સ@@ હા@@ ની
હજીરા	હ@@ જી@@ રા
હજીરો	હ@@ જી@@ રો
હમ્તા	હ@@ મ્@@ તા
હરેલા	હ@@ રે@@ લા
હલ્દી	હ@@ લ્@@ દી
અત્રિ	અ@@ ત્ર@@ િ
અનામત	અ@@ નામ@@ ત
અસ્વથ	અ@@ સ્વ@@ થ
આગ્રા	આ@@ ગ્ર@@ ા
આદર્શ	આ@@ દર્@@ શ
આનંદી	આ@@ નંદ@@ ી
આરોહણ	આ@@ રોહ@@ ણ
આવર્ત	આ@@ વર્@@ ત
ઇમરાન	ઇ@@ મરા@@ ન
ઈંદોર	ઈ@@ ંદો@@ ર
ઉત્સવ	ઉ@@ ત્સ@@ વ
ઉન્નત	ઉ@@ ન્ન@@ ત
એનાયત	એ@@ નાય@@ ત
એસ્થર	એ@@ સ્થ@@ ર
ઔરંગા	ઔ@@ રંગ@@ ા
કન્નડ	ક@@ ન્ન@@ ડ
કન્યા	ક@@ ન્ય@@ ા
ખમ્મમ	ખ@@ મ્મ@@ મ
ટમ્પલ	ટ@@ મ્પ@@ લ
તરંગો	ત@@ રંગ@@ ો
દિયાસ	દ@@ િયા@@ સ
દ્વીપ	દ@@ ્વી@@ પ
નિયોન	ન@@ િયો@@ ન
પ્યાર	પ@@ ્યા@@ ર
બંગાળ	બ@@ ંગા@@ ળ
બનારસ	બ@@ નાર@@ સ
બસ્તર	બ@@ સ્ત@@ ર
બિયાસ	બ@@ િયા@@ સ
ભિયાળ	ભ@@ િયા@@ ળ
મચ્છુ	મ@@ ચ્છ@@ ુ
મન્ગન	મ@@ ન્ગ@@ ન
મિયાં	મ@@ િયા@@ ં
મિલ્ક	મ@@ િલ્@@ ક
રસાયણ	ર@@ સાય@@ ણ
વપરાશ	વ@@ પરા@@ શ
વસ્તુ	વ@@ સ્ત@@ ુ
સંદિપ	સ@@ ંદિ@@ પ
સંદેશ	સ@@ ંદે@@ શ
સસ્તન	સ@@ સ્ત@@ ન
સિયોત	સ@@ િયો@@ ત
હઝારે	હ@@ ઝાર@@ ે
હમ્પી	હ@@ મ્પ@@ ી
હર્ષલ	હ@@ ર્ષ@@ લ
હસમુખ	હ@@ સમુ@@ ખ
હ્યુજ	હ@@ ્યુ@@ જ
અન્ના	અ@@ ન્ના
આવેલી	આ@@ વેલી
ઇશ્વર	ઇ@@ શ્વર
ઈશ્વર	ઈ@@ શ્વર
ઉક્તિ	ઉ@@ ક્તિ
એરિયા	એ@@ રિયા
ઔલિયા	ઔ@@ લિયા
કડિયા	ક@@ ડિયા
ખડિયા	ખ@@ ડિયા
ખત્રી	ખ@@ ત્રી
ખન્ના	ખ@@ ન્ના
ઘડિયા	ઘ@@ ડિયા
જર્મન	જ@@ ર્મન
દક્ષા	દ@@ ક્ષા
નલિયા	ન@@ લિયા
પન્ના	પ@@ ન્ના
બક્ષી	બ@@ ક્ષી
બત્રા	બ@@ ત્રા
બરેલી	બ@@ રેલી
બર્મન	બ@@ ર્મન
બલિયા	બ@@ લિયા
બસ્તી	બ@@ સ્તી
ભક્તિ	ભ@@ ક્તિ
મંત્ર	મ@@ ંત્ર
મડિયા	મ@@ ડિયા
મન્ના	મ@@ ન્ના
મૌર્ય	મ@@ ૌર્ય
યંત્ર	ય@@ ંત્ર
રક્ષા	ર@@ ક્ષા
રબારી	ર@@ બારી
રશિયા	ર@@ શિયા
શર્મન	શ@@ ર્મન
શાંતિ	શ@@ ાંતિ
શૌર્ય	શ@@ ૌર્ય
અનડકટ	અન@@ ડ@@ ક@@ ટ
ઉપદંશ	ઉપ@@ દ@@ ં@@ શ
કાયદો	કા@@ ય@@ દ@@ ો
કિંચક	કિ@@ ં@@ ચ@@ ક
ગોડસે	ગો@@ ડ@@ સ@@ ે
ઘોષાલ	ઘો@@ ષ@@ ા@@ લ
જોરહટ	જો@@ ર@@ હ@@ ટ
ડુમખલ	ડુ@@ મ@@ ખ@@ લ
તુઘલક	તુ@@ ઘ@@ લ@@ ક
નવોદય	નવ@@ ો@@ દ@@ ય
નિખિલ	નિ@@ ખ@@ િ@@ લ
નોબૅલ	નો@@ બ@@ ૅ@@ લ
પાંચમ	પા@@ ં@@ ચ@@ મ
ફેડરર	ફે@@ ડ@@ ર@@ ર
ફોટૉન	ફો@@ ટ@@ ૉ@@ ન
બાળપણ	બા@@ ળ@@ પ@@ ણ
બોઝૉન	બો@@ ઝ@@ ૉ@@ ન
બ્લૉગ	બ્@@ લ@@ ૉ@@ ગ
માગશર	મા@@ ગ@@ શ@@ ર
મિંઢા	મિ@@ ં@@ ઢ@@ ા
યુધ્ધ	યુ@@ ધ@@ ્@@ ધ
રાઠોડ	રા@@ ઠ@@ ો@@ ડ
રુપસે	રુ@@ પ@@ સ@@ ે
રેઇનર	રે@@ ઇ@@ ન@@ ર
લાહૌલ	લા@@ હ@@ ૌ@@ લ
લિટમસ	લિ@@ ટ@@ મ@@ સ
લુણેજ	લુ@@ ણ@@ ે@@ જ
વિંછી	વિ@@ ં@@ છ@@ ી
શાણપણ	શા@@ ણ@@ પ@@ ણ
સ્યીમ	સ્@@ ય@@ ી@@ મ
હોયસલ	હો@@ ય@@ સ@@ લ
અનીની	અન@@ ી@@ ની
અમરગઢ	અમ@@ ર@@ ગઢ
અમીના	અમ@@ ી@@ ના
અવતરણ	અવ@@ ત@@ રણ
આંકડો	આં@@ ક@@ ડો
આંજણી	આં@@ જ@@ ણી
આંધળી	આં@@ ધ@@ ળી
આંધ્ર	આં@@ ધ@@ ્ર
ઉદકજન	ઉદ@@ ક@@ જન
ઔરૈયા	ઔર@@ ૈ@@ યા
કંપની	કં@@ પ@@ ની
કડલૂર	કડ@@ લ@@ ૂર
કરચલો	કર@@ ચ@@ લો
કરમશી	કર@@ મ@@ શી
કરમસદ	કર@@ મ@@ સદ
કરૌલી	કર@@ ૌ@@ લી
કાકડી	કા@@ ક@@ ડી
કાતરા	કા@@ ત@@ રા
કાદરી	કા@@ દ@@ રી
કાફકા	કા@@ ફ@@ કા
કાબરી	કા@@ બ@@ રી
કાયલા	કા@@ ય@@ લા
કીટલી	કી@@ ટ@@ લી
કુકમા	કુ@@ ક@@ મા
કુફરી	કુ@@ ફ@@ રી
કૂકડો	કૂ@@ ક@@ ડો
કૂતરો	કૂ@@ ત@@ રો
કેશગઢ	કે@@ શ@@ ગઢ
કોડકી	કો@@ ડ@@ કી
કોયના	કો@@ ય@@ ના
કોળું	કો@@ ળ@@ ું
કોહલી	કો@@ હ@@ લી
ખંજરી	ખં@@ જ@@ રી
ખાખરા	ખા@@ ખ@@ રા
ખાખરો	ખા@@ ખ@@ રો
ખાનપર	ખા@@ ન@@ પર
ખાલસા	ખા@@ લ@@ સા
ખીચડી	ખી@@ ચ@@ ડી
ખીજડો	ખી@@ જ@@ ડો
ખીણની	ખી@@ ણ@@ ની
ખેચરી	ખે@@ ચ@@ રી
ખેરવા	ખે@@ ર@@ વા
ખોખરા	ખો@@ ખ@@ રા
ગણેશન	ગણ@@ ે@@ શન
ગાડું	ગા@@ ડ@@ ું
ગુંટર	ગુ@@ ં@@ ટર
ગુઆંગ	ગુ@@ આ@@ ંગ
ગેટવે	ગે@@ ટ@@ વે
ગોઆના	ગો@@ આ@@ ના
ગોખરુ	ગો@@ ખ@@ રુ
ગોખલે	ગો@@ ખ@@ લે
ગોધરા	ગો@@ ધ@@ રા
ગોલઘર	ગો@@ લ@@ ઘર
ગૌડીય	ગૌ@@ ડ@@ ીય
ઘાઘરા	ઘા@@ ઘ@@ રા
ઘુડખર	ઘુ@@ ડ@@ ખર
ઘેરંડ	ઘે@@ ર@@ ંડ
ચાવંડ	ચા@@ વ@@ ંડ
ચાવલા	ચા@@ વ@@ લા
ચિખલી	ચિ@@ ખ@@ લી
ચીનની	ચી@@ ન@@ ની
ચીપકો	ચી@@ પ@@ કો
ચેનલો	ચે@@ ન@@ લો
ચેવડો	ચે@@ વ@@ ડો
ચોકડી	ચો@@ ક@@ ડી
ચોટલી	ચો@@ ટ@@ લી
ચોતરો	ચો@@ ત@@ રો
ચોપડા	ચો@@ પ@@ ડા
ચોપરા	ચો@@ પ@@ રા
ચોરલા	ચો@@ ર@@ લા
જયંતિ	જય@@ ં@@ તિ
જયંતી	જય@@ ં@@ તી
જરગલી	જર@@ ગ@@ લી
જલપરી	જલ@@ પ@@ રી
જાતીય	જા@@ ત@@ ીય
જાનકી	જા@@ ન@@ કી
જાફના	જા@@ ફ@@ ના
જાયફળ	જા@@ ય@@ ફળ
જાલના	જા@@ લ@@ ના
જીરું	જી@@ ર@@ ું
જેઇટા	જે@@ ઇ@@ ટા
જેકસન	જે@@ ક@@ સન
જેઠવા	જે@@ ઠ@@ વા
જોગણી	જો@@ ગ@@ ણી
જોગનો	જો@@ ગ@@ નો
ટાઈગર	ટા@@ ઈ@@ ગર
ટીપણી	ટી@@ પ@@ ણી
ટીમરુ	ટી@@ મ@@ રુ
ટોટનમ	ટો@@ ટ@@ નમ
ડાફલા	ડા@@ ફ@@ લા
ડિએગો	ડિ@@ એ@@ ગો
ડુમરા	ડુ@@ મ@@ રા
ડેથલી	ડે@@ થ@@ લી
ડોગરા	ડો@@ ગ@@ રા
ડોગરી	ડો@@ ગ@@ રી
તાડકા	તા@@ ડ@@ કા
તામડા	તા@@ મ@@ ડા
તાળું	તા@@ ળ@@ ું
તેજગઢ	તે@@ જ@@ ગઢ
તેમનો	તે@@ મ@@ નો
તેહરી	તે@@ હ@@ રી
થાનગઢ	થા@@ ન@@ ગઢ
થેપલા	થે@@ પ@@ લા
થોરડી	થો@@ ર@@ ડી
દાંતા	દા@@ ં@@ તા
દાયકો	દા@@ ય@@ કો
દિનકર	દિ@@ ન@@ કર
દિપડો	દિ@@ પ@@ ડો
દુમકા	દુ@@ મ@@ કા
દુશલા	દુ@@ શ@@ લા
દોલપા	દો@@ લ@@ પા
ધૂપગઢ	ધૂ@@ પ@@ ગઢ
ધોમડો	ધો@@ મ@@ ડો
ધોળકા	ધો@@ ળ@@ કા
નાઈજર	ના@@ ઈ@@ જર
નાઓમી	ના@@ ઓ@@ મી
નાણું	ના@@ ણ@@ ું
નિચલી	નિ@@ ચ@@ લી
નિતલી	નિ@@ ત@@ લી
નિરમા	નિ@@ ર@@ મા
નિવસન	નિ@@ વ@@ સન
નીરજી	ની@@ ર@@ જી
નોઇડા	નો@@ ઇ@@ ડા
નોયસી	નો@@ ય@@ સી
પરગણા	પર@@ ગ@@ ણા
પાઈકા	પા@@ ઈ@@ કા
પાઉલી	પા@@ ઉ@@ લી
પાઘડી	પા@@ ઘ@@ ડી
પાતગઢ	પા@@ ત@@ ગઢ
પાદરી	પા@@ દ@@ રી
પીઠનો	પી@@ ઠ@@ નો
પીણું	પી@@ ણ@@ ું
પીપળો	પી@@ પ@@ ળો
પૂડલા	પૂ@@ ડ@@ લા
પેશવા	પે@@ શ@@ વા
ફાલસા	ફા@@ લ@@ સા
ફુરસા	ફુ@@ ર@@ સા
ફુલકા	ફુ@@ લ@@ કા
ફૂસકી	ફૂ@@ સ@@ કી
બરકના	બર@@ ક@@ ના
બાઇબલ	બા@@ ઇ@@ બલ
બાગપત	બા@@ ગ@@ પત
બાજરો	બા@@ જ@@ રો
બાજવા	બા@@ જ@@ વા
બાબરા	બા@@ બ@@ રા
બામણા	બા@@ મ@@ ણા
બાવકા	બા@@ વ@@ કા
બાવચી	બા@@ વ@@ ચી
બાવળા	બા@@ વ@@ ળા
બાહ્ય	બા@@ હ@@ ્ય
બિરલા	બિ@@ ર@@ લા
બિરસા	બિ@@ ર@@ સા
બિલખા	બિ@@ લ@@ ખા
બીજું	બી@@ જ@@ ું
બીદસર	બી@@ દ@@ સર
બીરબલ	બી@@ ર@@ બલ
બેંકર	બે@@ ં@@ કર
બેંકો	બે@@ ં@@ કો
બેડની	બે@@ ડ@@ ની
બેતવા	બે@@ ત@@ વા
બોઈસર	બો@@ ઈ@@ સર
બોદવડ	બો@@ દ@@ વડ
ભાખરી	ભા@@ ખ@@ રી
ભાડલા	ભા@@ ડ@@ લા
ભાડલી	ભા@@ ડ@@ લી
ભાડવા	ભા@@ ડ@@ વા
ભાણવડ	ભા@@ ણ@@ વડ
ભાલકા	ભા@@ લ@@ કા
ભીમજી	ભી@@ મ@@ જી
ભીલડી	ભી@@ લ@@ ડી
ભેચડા	ભે@@ ચ@@ ડા
ભોઇકા	ભો@@ ઇ@@ કા
ભોયરા	ભો@@ ય@@ રા
મથુરા	મથ@@ ુ@@ રા
મરચું	મર@@ ચ@@ ું
મહંમદ	મહ@@ ં@@ મદ
માણસા	મા@@ ણ@@ સા
માણેક	મા@@ ણ@@ ેક
માળવી	મા@@ ળ@@ વી
માવઠા	મા@@ વ@@ ઠા
મીઠું	મી@@ ઠ@@ ું
મુઆઝમ	મુ@@ આ@@ ઝમ
મુનશી	મુ@@ ન@@ શી
મેધપર	મે@@ ધ@@ પર
મેમરી	મે@@ મ@@ રી
મેહતા	મે@@ હ@@ તા
મોગરો	મો@@ ગ@@ રો
મોટું	મો@@ ટ@@ ું
યેવલા	યે@@ વ@@ લા
રણોલી	રણ@@ ો@@ લી
રાંચી	રા@@ ં@@ ચી
રાઈનો	રા@@ ઈ@@ નો
રાનડે	રા@@ ન@@ ડે
રાફડો	રા@@ ફ@@ ડો
રાહલા	રા@@ હ@@ લા
રિકટર	રિ@@ ક@@ ટર
રિડલી	રિ@@ ડ@@ લી
રૂખડો	રૂ@@ ખ@@ ડો
રેલવે	રે@@ લ@@ વે
રોજડી	રો@@ જ@@ ડી
રોટલી	રો@@ ટ@@ લી
લાખથી	લા@@ ખ@@ થી
લાતૂર	લા@@ ત@@ ૂર
લાપસી	લા@@ પ@@ સી
લાવણી	લા@@ વ@@ ણી
લીમડો	લી@@ મ@@ ડો
લેઉવા	લે@@ ઉ@@ વા
વંથલી	વં@@ થ@@ લી
વંશીય	વં@@ શ@@ ીય
વરંધા	વર@@ ં@@ ધા
વરણું	વર@@ ણ@@ ું
વાજું	વા@@ જ@@ ું
વાવડી	વા@@ વ@@ ડી
વિચરણ	વિ@@ ચ@@ રણ
વિમળા	વિ@@ મ@@ ળા
વીરતા	વી@@ ર@@ તા
વેગડી	વે@@ ગ@@ ડી
વોટસન	વો@@ ટ@@ સન
વોડકા	વો@@ ડ@@ કા
શિકરા	શિ@@ ક@@ રા
શિરડી	શિ@@ ર@@ ડી
શીતળા	શી@@ ત@@ ળા
શેરડી	શે@@ ર@@ ડી
સંતરુ	સં@@ ત@@ રુ
સંપદા	સં@@ પ@@ દા
સાઉદી	સા@@ ઉ@@ દી
સાણંદ	સા@@ ણ@@ ંદ
સાધના	સા@@ ધ@@ ના
સાલડી	સા@@ લ@@ ડી
સાવલી	સા@@ વ@@ લી
સિએરા	સિ@@ એ@@ રા
સિધવા	સિ@@ ધ@@ વા
સિરસા	સિ@@ ર@@ સા
સિલચર	સિ@@ લ@@ ચર
સિવની	સિ@@ વ@@ ની
સીડની	સી@@ ડ@@ ની
સુંધા	સુ@@ ં@@ ધા
સુગરી	સુ@@ ગ@@ રી
સુથરી	સુ@@ થ@@ રી
સુમતિ	સુ@@ મ@@ તિ
સેંચલ	સે@@ ં@@ ચલ
સ્ખલન	સ્@@ ખ@@ લન
હાઈકુ	હા@@ ઈ@@ કુ
હાઝરા	હા@@ ઝ@@ રા
હાથરસ	હા@@ થ@@ રસ
હામપર	હા@@ મ@@ પર
હિંસા	હિ@@ ં@@ સા
હિટલર	હિ@@ ટ@@ લર
હીજડા	હી@@ જ@@ ડા
હુંશી	હુ@@ ં@@ શી
હુઆંગ	હુ@@ આ@@ ંગ
હુગલી	હુ@@ ગ@@ લી
હુમલો	હુ@@ મ@@ લો
હેઇદી	હે@@ ઇ@@ દી
હેકટર	હે@@ ક@@ ટર
હેનરી	હે@@ ન@@ રી
અંકાઈ	અં@@ કા@@ ઈ
અંકિત	અં@@ કિ@@ ત
અંજલિ	અં@@ જલ@@ િ
અંજાર	અં@@ જા@@ ર
અંજીર	અં@@ જી@@ ર
અમરીશ	અમ@@ રી@@ શ
અરડોઈ	અર@@ ડો@@ ઈ
અવધૂત	અવ@@ ધૂ@@ ત
આઇઝેક	આઇ@@ ઝે@@ ક
આઇપેડ	આઇ@@ પે@@ ડ
આઇપોડ	આઇ@@ પો@@ ડ
આઈઝિસ	આઈ@@ ઝિ@@ સ
આરમીન	આર@@ મી@@ ન
ઉમરેઠ	ઉમ@@ રે@@ ઠ
એનરોન	એન@@ રો@@ ન
એમ્રો	એમ@@ ્ર@@ ો
એરવેઝ	એર@@ વે@@ ઝ
કંબોઈ	કં@@ બો@@ ઈ
કંવાટ	કં@@ વા@@ ટ
કમલેશ	કમ@@ લે@@ શ
કરકરે	કર@@ કર@@ ે
કરકરો	કર@@ કર@@ ો
કરતાં	કર@@ તા@@ ં
કરનાલ	કર@@ ના@@ લ
કાંડુ	કા@@ ંડ@@ ુ
કાજોલ	કા@@ જો@@ લ
કાફિર	કા@@ ફિ@@ ર
કાલીસ	કા@@ લી@@ સ
કાલોલ	કા@@ લો@@ લ
કાસિમ	કા@@ સિ@@ મ
કિશોર	કિ@@ શો@@ ર
કુણાલ	કુ@@ ણા@@ લ
કુતુબ	કુ@@ તુ@@ બ
કુદરત	કુ@@ દર@@ ત
કુબેર	કુ@@ બે@@ ર
કુરાન	કુ@@ રા@@ ન
કુવૈત	કુ@@ વૈ@@ ત
કેચુઆ	કે@@ ચુ@@ આ
કેનાલ	કે@@ ના@@ લ
કેળાં	કે@@ ળા@@ ં
કેશોદ	કે@@ શો@@ દ
કેસેટ	કે@@ સે@@ ટ
કૈમૂર	કૈ@@ મૂ@@ ર
કૈલાશ	કૈ@@ લા@@ શ
કોંકણ	કો@@ ંક@@ ણ
કોંગો	કો@@ ંગ@@ ો
કોકોસ	કો@@ કો@@ સ
કોચરબ	કો@@ ચર@@ બ
કોટાય	કો@@ ટા@@ ય
કોલેજ	કો@@ લે@@ જ
કૌશિક	કૌ@@ શિ@@ ક
ક્લાન	ક્@@ લા@@ ન
ક્લુમ	ક્@@ લુ@@ મ
ક્વિન	ક્@@ વિ@@ ન
ક્વીન	ક્@@ વી@@ ન
ખેડોઈ	ખે@@ ડો@@ ઈ
ખોરાક	ખો@@ રા@@ ક
ગંજામ	ગં@@ જા@@ મ
ગંભીર	ગં@@ ભી@@ ર
ગાડીત	ગા@@ ડી@@ ત
ગામીત	ગા@@ મી@@ ત
ગાર્દ	ગા@@ ર્@@ દ
ગાલિબ	ગા@@ લિ@@ બ
ગિફ્ટ	ગિ@@ ફ્@@ ટ
ગિરિશ	ગિ@@ રિ@@ શ
ગુંદા	ગુ@@ ંદ@@ ા
ગૂગોલ	ગૂ@@ ગો@@ લ
ગોંડલ	ગો@@ ંડ@@ લ
ગોકુળ	ગો@@ કુ@@ ળ
ગોગોઈ	ગો@@ ગો@@ ઈ
ગોમાઇ	ગો@@ મા@@ ઇ
ગોલાય	ગો@@ લા@@ ય
ગોસાલ	ગો@@ સા@@ લ
ગોહિલ	ગો@@ હિ@@ લ
ગોહીલ	ગો@@ હી@@ લ
ગૌમુખ	ગૌ@@ મુ@@ ખ
ગ્લોક	ગ્@@ લો@@ ક
ઘોરાડ	ઘો@@ રા@@ ડ
ચલથાણ	ચલ@@ થા@@ ણ
ચિચેન	ચિ@@ ચે@@ ન
ચિનોઇ	ચિ@@ નો@@ ઇ
ચિરાઘ	ચિ@@ રા@@ ઘ
ચીનાઈ	ચી@@ ના@@ ઈ
ચેનાબ	ચે@@ ના@@ બ
ચૌહાણ	ચૌ@@ હા@@ ણ
જગદીશ	જગ@@ દી@@ શ
જનસંઘ	જન@@ સં@@ ઘ
જરદોશ	જર@@ દો@@ શ
જાપાન	જા@@ પા@@ ન
જાબાળ	જા@@ બા@@ ળ
જાહેર	જા@@ હે@@ ર
જિરાફ	જિ@@ રા@@ ફ
જિહાદ	જિ@@ હા@@ દ
જીવિત	જી@@ વિ@@ ત
જીસેટ	જી@@ સે@@ ટ
જુડાસ	જુ@@ ડા@@ સ
જેસોર	જે@@ સો@@ ર
જોસેફ	જો@@ સે@@ ફ
ઝાકિર	ઝા@@ કિ@@ ર
ઝાકીર	ઝા@@ કી@@ ર
ઝાબુઆ	ઝા@@ બુ@@ આ
ઝાલોદ	ઝા@@ લો@@ દ
ઝેનોન	ઝે@@ નો@@ ન
ઝોહરર	ઝો@@ હર@@ ર
ટાગોર	ટા@@ ગો@@ ર
ટાપુઓ	ટા@@ પુ@@ ઓ
ટિકિટ	ટિ@@ કિ@@ ટ
ટીંબી	ટી@@ ંબ@@ ી
ટીંબો	ટી@@ ંબ@@ ો
ટીપું	ટી@@ પુ@@ ં
ટેનિસ	ટે@@ નિ@@ સ
ઠાકુર	ઠા@@ કુ@@ ર
ડાંગર	ડા@@ ંગ@@ ર
ડેનિસ	ડે@@ નિ@@ સ
ડેવિડ	ડે@@ વિ@@ ડ
તરબૂચ	તર@@ બૂ@@ ચ
તાંડવ	તા@@ ંડ@@ વ
તાંબુ	તા@@ ંબ@@ ુ
તાલિમ	તા@@ લિ@@ મ
તિનાઉ	તિ@@ ના@@ ઉ
તુસાદ	તુ@@ સા@@ દ
તોરણે	તો@@ રણ@@ ે
થેફ્ટ	થે@@ ફ્@@ ટ
દાહિર	દા@@ હિ@@ ર
દાહોદ	દા@@ હો@@ દ
દિગીશ	દિ@@ ગી@@ શ
દિલિપ	દિ@@ લિ@@ પ
દિલીપ	દિ@@ લી@@ પ
દિશાઓ	દિ@@ શા@@ ઓ
દીદાત	દી@@ દા@@ ત
દેરોલ	દે@@ રો@@ લ
દેવેન	દે@@ વે@@ ન
દેવૈઆ	દે@@ વૈ@@ આ
દેસાઇ	દે@@ સા@@ ઇ
દેહાત	દે@@ હા@@ ત
ધામાય	ધા@@ મા@@ ય
ધિરાણ	ધિ@@ રા@@ ણ
ધીરેન	ધી@@ રે@@ ન
ધોરણો	ધો@@ રણ@@ ો
નરગીસ	નર@@ ગી@@ સ
નરહરિ	નર@@ હર@@ િ
નવજોત	નવ@@ જો@@ ત
નવદીપ	નવ@@ દી@@ પ
નવરોઝ	નવ@@ રો@@ ઝ
નાગોઆ	ના@@ ગો@@ આ
નાગોર	ના@@ ગો@@ ર
નિનાઈ	નિ@@ ના@@ ઈ
નિફાડ	નિ@@ ફા@@ ડ
નિમરત	નિ@@ મર@@ ત
નિરોધ	નિ@@ રો@@ ધ
નુસરત	નુ@@ સર@@ ત
નેચરલ	ને@@ ચર@@ લ
નેહરુ	ને@@ હર@@ ુ
નોવાક	નો@@ વા@@ ક
પરવીન	પર@@ વી@@ ન
પાકુડ	પા@@ કુ@@ ડ
પાટિલ	પા@@ ટિ@@ લ
પાટીલ	પા@@ ટી@@ લ
પાતાળ	પા@@ તા@@ ળ
પાલેજ	પા@@ લે@@ જ
પિચાઈ	પિ@@ ચા@@ ઈ
પિશાચ	પિ@@ શા@@ ચ
પીરોજ	પી@@ રો@@ જ
પુનિત	પુ@@ નિ@@ ત
પુરુષ	પુ@@ રુ@@ ષ
પેટીટ	પે@@ ટી@@ ટ
પેટીસ	પે@@ ટી@@ સ
પેરિસ	પે@@ રિ@@ સ
પેરીસ	પે@@ રી@@ સ
પેરેન	પે@@ રે@@ ન
પોંગલ	પો@@ ંગ@@ લ
પોલીસ	પો@@ લી@@ સ
પ્લેટ	પ્@@ લે@@ ટ
ફિંગર	ફિ@@ ંગ@@ ર
ફિરોઝ	ફિ@@ રો@@ ઝ
ફુલાય	ફુ@@ લા@@ ય
ફૂલાય	ફૂ@@ લા@@ ય
ફ્લેશ	ફ્@@ લે@@ શ
બંટાઇ	બં@@ ટા@@ ઇ
બંધુઓ	બં@@ ધુ@@ ઓ
બંબોઈ	બં@@ બો@@ ઈ
બલધોઇ	બલ@@ ધો@@ ઇ
બાંકે	બા@@ ંક@@ ે
બાંદા	બા@@ ંદ@@ ા
બાઝાર	બા@@ ઝા@@ ર
બાહોર	બા@@ હો@@ ર
બિંદુ	બિ@@ ંદ@@ ુ
બિરજુ	બિ@@ રજ@@ ુ
બિરેન	બિ@@ રે@@ ન
બીએસઈ	બી@@ એસ@@ ઈ
બેતુલ	બે@@ તુ@@ લ
બેનિન	બે@@ નિ@@ ન
બોટાદ	બો@@ ટા@@ દ
બોમ્બ	બો@@ મ્@@ બ
બોરિસ	બો@@ રિ@@ સ
બોરોન	બો@@ રો@@ ન
બોલ્ટ	બો@@ લ્@@ ટ
બ્લૂઝ	બ્@@ લૂ@@ ઝ
બ્લેક	બ્@@ લે@@ ક
ભાંડુ	ભા@@ ંડ@@ ુ
ભાંભણ	ભા@@ ંભ@@ ણ
ભાથાણ	ભા@@ થા@@ ણ
