!	_!
!!	_!!
!((	_!((
!)	_!)
!-	_!-
!mxt	_!mxt
!xt	_!xt
"નિયમોને	_"નિયમોને
કાજલ	_કાજલ
કાજળ	_કાજળ
કાજા,	_કાજા,
કાજિતા	_કાજિતા
કાજી	_કાજી
કાજુ	_કાજુ
કાજોલ	_કાજોલ
કાઝીરંગા	_કાઝીરંગા
કાટ	_કાટ
કાટવર્ણી	_કાટવર્ણી
કાઠગોદામ	_કાઠગોદામ
કાઠમંડુ	_કાઠમંડુ
કાઠિયાવાડ	_કાઠિયાવાડ
કાઠિયાવાડી	_કાઠિયાવાડ +ી
કાણકિયા	_કાણકિયા
કાણોદર	_કાણોદર
કાતર	_કાતર
કાતરા	_કાતરા
કાત્યાયની	_કાત્યાયની
કાત્રજ	_કાત્રજ
કાદરી	_કાદરી
કાદુ	_કાદુ
કાન	_કાન
કાનજી	_કાનજી
કાનજીભાઇ	_કાનજીભાઇ
કાનપરિયા	_કાનપરિયા
કાનપુર	_કાનપુર
કાનપુરનો	_કાનપુરનો
કાનમેર	_કાનમેર
કાનસીયો	_કાનસીયો
કાનાજી	_કાનાજી
કાનાવડાળા	_કાનાવડાળા
કાનુગો	_કાનુગો
કાનેરી	_કાનેરી
કાન્તા	_કાન્તા
કાન્હેરી	_કાન્હેરી
કાન્હોજી	_કાન્હોજી
કાપડીઆ	_કાપડીઆ
કાફકા	_કાફકા
કાફિર	_કાફિર
કાબર	_કાબર
કાબરી	_કાબર +ી
કાબરો	_કાબર +ો
કાબુલ	_કાબુલ
કામ	_કામ
કામદા	_કામદા
કામદાર	_કામદાર
કામદારોનો	_કામદારોનો
કામધેનુ	_કામધેનુ
કામરુ,	_કામરુ,
કામરુપ	_કામરુપ
કામરેજ	_કામરેજ
કામસૂત્ર	_કામસૂત્ર
કામા	_કામા
કામારપુકુર	_કામારપુકુર
કામિની	_કામિની
કામેશ્વરસિંહ	_કામેશ્વરસિંહ
કામ્ટે	_કામ્ટે
કાયદો	_કાયદો
કાયલા	_કાયલા
કાયલાના	_કાયલા +ના
કાયામ્બે	_કાયામ્બે
કાયાવરોહણ	_કાયાવરોહણ
કાર	_કાર
કારકાટ	_કારકાટ
કારખાનું	_કારખાનું
કારગિલ	_કારગિલ
કારડીયા	_કારડીયા
કારતક	_કારતક
કારવાર	_કારવાર
કારા	_કારા
કારાકાસ	_કારાકાસ
કારાકોરમ	_કારાકોરમ
કારાગૃહ	_કારાગૃહ
કારેલું	_કારેલું
કારેશ્વર	_કારેશ્વર
કારોલ	_કારોલ
કાર્ટેન	_કાર્ટેન
કાર્ડ	_કાર્ડ
કાર્ડામોમ	_કાર્ડામોમ
કાર્ડિફ	_કાર્ડિફ
કાર્તિકેય	_કાર્તિકેય
કાર્તિકેયન	_કાર્તિકેયન
કાર્નેગી	_કાર્નેગી
કાર્બન	_કાર્બન
કાર્બી	_કાર્બી
કાર્બ્યુરેટર	_કાર્બ્યુરેટર
કાર્યક્રમ	_કાર્યક્રમ
કાર્યરીતિ	_કાર્યરીતિ
કાર્લ	_કાર્લ
કાર્લસન	_કાર્લસન
કાર્વેપાલનચોક	_કાર્વેપાલનચોક
કાલ	_કાલ
કાલકા-શિમલા	_કાલકા _- _શિમલા
કાલદુર્ગ	_કાલદુર્ગ
કાલરાત્રિ	_કાલરાત્રિ
કાલા	_કાલા
કાલાવડ	_કાલાવડ
કાલિ	_કાલિ
કાલિકા	_કાલિકા
કાલિકોટ	_કાલિકોટ
કાલિદાસ	_કાલિદાસ
કાલિન્દી	_કાલિન્દી
કાલિમપોંગ	_કાલિમપોંગ
કાલી	_કાલી
કાલીસ	_કાલીસ
કાલુપુર	_કાલુપુર
કાલેલકર	_કાલેલકર
કાલોલ	_કાલોલ
કાલ્પનિક	_કાલ્પનિક
કાળ	_કાળ
કાળના	_કાળ +ના
કાળહસ્તી	_કાળહસ્તી
કાળા	_કાળા
કાળિયાર	_કાળિયાર
કાળી	_કાળ +ી
કાળુભાર	_કાળુભાર
કાળો	_કાળ +ો
કાવા	_કાવા
કાવો	_કાવો
કાશી	_કાશી
કાશ્મીર	_કાશ્મીર
કાશ્મીરના	_કાશ્મીર +ના
કાશ્મીરનાં	_કાશ્મીરનાં
કાશ્મીરી	_કાશ્મીર +ી
કાસગંજ	_કાસગંજ
કાસરગોડ	_કાસરગોડ
કાસરવલ્લી	_કાસરવલ્લી
કાસાગ્રાન્ડ	_કાસાગ્રાન્ડ
કાસિમ	_કાસિમ
કાસુંદરી	_કાસુંદરી
કાસ્કી	_કાસ્કી
કાસ્ટ્રો	_કાસ્ટ્રો
કિંગ	_કિંગ
કિંગડમ	_કિંગડમ
કિંગ્‍સલી	_કિંગ્‍સલી
કિંચક	_કિંચક
કિટકશાસ્ત્ર	_કિટકશાસ્ત્ર
કિનારીવાલા	_કિનારીવાલા
કિન્નોર	_કિન્નોર
કિપલિંગ	_કિપલિંગ
કિબ્બર	_કિબ્બર
કિરણ	_કિરણ
કિરમાણી	_કિરમાણી
કિરિબાતીનો	_કિરિબાતીનો
કિર્ગિઝ	_કિર્ગિઝ
કિર્ગિસ્તાનનો	_કિર્ગિસ્તાનનો
કિર્તન	_કિર્તન
કિર્તિ	_કિર્તિ
કિર્સ્ટન	_કિર્સ્ટન
કિલ્લાઓ	_કિલ્લાઓ
કિલ્લો	_કિલ્લો
કિલ્લો,	_કિલ્લો,
કિશન	_કિશન
કિશનગંજ	_કિશનગંજ
કિશોર	_કિશોર
કિષ્કિંધા	_કિષ્કિંધા
કિસ્સા	_કિસ્સા
કિહોટે	_કિહોટે
કી	_કી
કીઆન	_કીઆન
કીઝ	_કીઝ
કીટ	_કીટ
કીટલી	_કીટલી
કીડી	_કીડી
કીડીઘર	_કીડીઘર
કીપર	_કીપર
કીબોર્ડ	_કીબોર્ડ
કીમ	_કીમ
કીર્તિ	_કીર્તિ
કીશીભાઇ	_કીશીભાઇ
કુ	_કુ
કુ.	_કુ.
કુંજ	_કુંજ
કુંજ,	_કુંજ,
કુંડ	_કુંડ
કુંડ,	_કુંડ,
કુંતાશી	_કુંતાશી
કુંતી	_કુંતી
કુંથુનાથ	_કુંથુનાથ
કુંદનલાલ	_કુંદનલાલ
કુંભ	_કુંભ
કુંભકર્ણ	_કુંભ _કર્ણ
કુંભરલી	_કુંભરલી
કુંભલગઢ	_કુંભલગઢ
કુંભાર	_કુંભાર
કુંભારીયા	_કુંભારીયા
કુંવારપાઠું	_કુંવારપાઠું
કુકમા	_કુકમા
કુકરમુંડા	_કુકરમુંડા
કુચાઇકોટ	_કુચાઇકોટ
કુચિપુડી	_કુચિપુડી
કુટુંબ	_કુટુંબ
કુણાલ	_કુણાલ
કુતિયાણા	_કુતિયાણા
કુતુબ	_કુતુબ
કુતુબુદ્દીન	_કુતુબુદ્દીન
કુત્બુદ્દીન	_કુત્બુદ્દીન
કુદરત	_કુદરત
કુદરતી	_કુદરત +ી
કુને	_કુને
કુન્દનિકા	_કુન્દનિકા
કુન્નુર	_કુન્નુર
કુપવાડા	_કુપવાડા
કુપોષણ	_કુપોષણ
કુફરી	_કુફરી
કુબેર	_કુબેર
કુમાઉં	_કુમાઉં
કુમાઉની	_કુમાઉની
કુમાર	_કુમાર
કુમારપાળ	_કુમારપાળ
કુમારી	_કુમાર +ી
કુમે	_કુમે
કુરજીભાઇ	_કુરજીભાઇ
કુરસુરા	_કુરસુરા
કુરાન	_કુરાન
કુરાન્ડા	_કુરાન્ડા
કુરિયન	_કુરિયન
કુરુંગ	_કુરુંગ
કુરુક્ષેત્ર	_કુરુક્ષેત્ર
કુર્કુટાકાર	_કુર્કુટાકાર
કુર્નિકોવા	_કુર્નિકોવા
કુર્નૂલ	_કુર્નૂલ
કુર્સી	_કુર્સી
કુલકર્ણી	_કુલકર્ણી
કુલદીપ	_કુલદીપ
કુલધારા,	_કુલધારા,
કુલ્લૂ	_કુલ્લૂ
કુળ	_કુળ
કુળો	_કુળ +ો
કુવૈત	_કુવૈત
કુવૈતનો	_કુવૈતનો
કુશ	_કુશ
કુશધ્વજ	_કુશધ્વજ
કુશીનગર	_કુશીનગર
કુશોક	_કુશોક
કુસુમમાળા	_કુસુમમાળા
કુસ્તી	_કુસ્તી
કુહાડી	_કુહાડી
કૂકડિયો	_કૂકડિયો
કૂકડો	_કૂકડો
કૂચબિહાર	_કૂચબિહાર
કૂતરો	_કૂતરો
કૂવા	_કૂવા
કૂવો	_કૂવો
કૂષ્માંડા	_કૂષ્માંડા
કૃતજ્ઞતા	_કૃતજ્ઞતા
કૃતવર્મા	_કૃતવર્મા
કૃત્રિમ	_કૃત્રિમ
કૃપ	_કૃપ
કૃપામૃત્યુ	_કૃપામૃત્યુ
કૃષિ	_કૃષિ
કૃષિવિજ્ઞાન	_કૃષિ _વિજ્ઞાન
કૃષ્ણ	_કૃષ્ણ
કૃષ્ણકુમારસિંહ	_કૃષ્ણ _કુમાર _સિંહ
કૃષ્ણગંગા	_કૃષ્ણ _ગંગા
કૃષ્ણદાસ	_કૃષ્ણદાસ
કૃષ્ણમૂર્તિ	_કૃષ્ણ _મૂર્તિ
કૃષ્ણલાલ	_કૃષ્ણલાલ
કૃષ્ણા	_કૃષ્ણા
કૃષ્ણાગિરિ	_કૃષ્ણાગિરિ
કૃષ્ણાવતાર	_કૃષ્ણાવતાર
કૅટરિના	_કૅટરિના
કે	_કે
કે-૪૭	_કે _- _૪૭
કે.	_કે.
કે.લાલ	_કે.લાલ
કેઓરાપેત્સે	_કેઓરાપેત્સે
કેચુઆ	_કેચુઆ
કેટ	_કેટ
કેડમિયમ	_કેડમિયમ
કેતન	_કેતન
કેથરિન	_કેથરિન
કેથોલિક	_કેથોલિક
કેદારકંઠ	_કેદારકંઠ
કેદારનાથ	_કેદારનાથ
કેન	_કેન
કેનાલ	_કેનાલ
કેનેડા	_કેનેડા
કેનેડાનો	_કેનેડાનો
કેન્ટ	_કેન્ટ
કેન્ટોનમેન્ટ	_કેન્ટોનમેન્ટ
કેન્ડી,	_કેન્ડી,
કેન્દુઝર	_કેન્દુઝર
કેન્દ્ર	_કેન્દ્ર
કેન્દ્રશાસિત	_કેન્દ્રશાસિત
કેન્દ્રાપડા	_કેન્દ્રાપડા
કેન્દ્રીય	_કેન્દ્રીય
કેન્યા	_કેન્યા
કેન્યાનો	_કેન્યાનો
કેન્સાસ	_કેન્સાસ
કેપ	_કેપ
કેપ્લર-૪૫૨બી	_કેપ્લર _- _૪૫૨બી
કેબલ	_કેબલ
કેમરૂનનો	_કેમરૂનનો
કેમેરૂન	_કેમેરૂન
કેમ્પબેલ	_કેમ્પબેલ
કેમ્પર્સ	_કેમ્પર્સ
કેમ્બ્રિજ	_કેમ્બ્રિજ
કેમ્યૂ	_કેમ્યૂ
કેરડા	_કેરડા
કેરમ	_કેરમ
કેરળ	_કેરળ
કેરળના	_કેરળ +ના
કેરવાડા	_કેરવાડા
કેરા	_કેરા
કેરિબિયન	_કેરિબિયન
કેરિયર	_કેરિયર
કેરી	_કેરી
કેરેબિયન	_કેરેબિયન
કેરોલિના	_કેરોલિના
કેલર	_કેલર
કેલિકો	_કેલિકો
કેલિફોર્નિયા	_કેલિફોર્નિયા
કેલિફોર્નીયમ	_કેલિફોર્નીયમ
કેલેન્ડર	_કેલેન્ડર
કેલોન્ગ	_કેલોન્ગ
કેલ્વિન	_કેલ્વિન
કેલ્શિયમ	_કેલ્શિયમ
કેળ	_કેળ
કેળવણીકાર	_કેળવણીકાર
કેળાં	_કેળાં
કેવલાદેવ	_કેવલાદેવ
કેવળ	_કેવળ
કેવી	_કેવી
કેશગઢ	_કેશગઢ
કેશવપ્રસાદ	_કેશવપ્રસાદ
કેશવલાલ	_કેશવલાલ
કેશુભાઈ	_કેશુભાઈ
કેશોદ	_કેશોદ
કેસ	_કેસ
કેસર	_કેસર
કેસરી	_કેસર +ી
કેસીંપા	_કેસીંપા
કેસેટ	_કેસેટ
કેસ્પિયન	_કેસ્પિયન
કૈકેયી	_કૈકેયી
કૈથલ	_કૈથલ
કૈફ	_કૈફ
કૈફાઇર	_કૈફાઇર
કૈમૂર	_કૈમૂર
કૈરો	_કૈરો
કૈલાલી	_કૈલાલી
કૈલાશ	_કૈલાશ
કૈલાશપતિ	_કૈલાશપતિ
કૈલાસનાથ	_કૈલાસનાથ
કૉમન્સ	_કૉમન્સ
કૉમિક્સ	_કૉમિક્સ
કૉલેજ	_કૉલેજ
કો	_કો
કો-ઍક્સિયલ	_કો _- _ઍક્સિયલ
કો-તક-ઇન	_કો _- _તક _- _ઇન
કોંકણ	_કોંકણ
કોંકણી	_કોંકણ +ી
કોંગો	_કોંગો
કોંગોનું	_કોંગોનું
કોંગ્રેસ	_કોંગ્રેસ
કોંગ્રેસ/મેટા/રંગ	_કોંગ્રેસ/મેટા/રંગ
કોઇમ્બતુર	_કોઇમ્બતુર
કોકમ	_કોકમ
કોકરાઝાર	_કોકરાઝાર
કોકલીયર	_કોકલીયર
કોકા	_કોકા
કોકિંગ	_કોકિંગ
કોકિલાકાર	_કોકિલાકાર
કોકોસ	_કોકોસ
કોચ	_કોચ
કોચરબ	_કોચરબ
કોચી	_કોચ +ી
કોઝવે,	_કોઝવે,
કોઝીક્કોડ	_કોઝીક્કોડ
કોટક	_કોટક
કોટા	_કોટા
કોટાય	_કોટાય
કોટેશ્વર	_કોટેશ્વર
કોટ્ટયમ	_કોટ્ટયમ
કોઠ	_કોઠ
કોઠારા	_કોઠારા
કોઠારી	_કોઠારી
કોઠારીયાતા.રાજકોટ	_કોઠારીયાતા.રાજકોટ
કોડ	_કોડ
કોડકી	_કોડકી
કોડરમા	_કોડરમા
કોડાગુ	_કોડાગુ
કોડાયકેનલ	_કોડાયકેનલ
કોડિઆક	_કોડિઆક
કોડીનાર	_કોડીનાર
કોણાર્ક	_કોણાર્ક
કોથમીર	_કોથમીર
કોદરા	_કોદરા
કોદાળી	_કોદાળી
કોદિયા	_કોદિયા
કોનકોર્ડ	_કોનકોર્ડ
કોન્સ્ટેન્ટીનોપલ	_કોન્સ્ટેન્ટીનોપલ
કોપરનિસીયમ	_કોપરનિસીયમ
કોપ્પલ	_કોપ્પલ
કોબાલ્ટ	_કોબાલ્ટ
કોમ	_કોમ
કોમોરોસનો	_કોમોરોસનો
કોમ્પ્યુટર	_કોમ્પ્યુટર
કોમ્પ્યુટરના	_કોમ્પ્યુટર +ના
કોયના	_કોયના
કોયલ	_કોયલ
કોરબા	_કોરબા
કોરાપુટ	_કોરાપુટ
કોરિયા	_કોરિયા
કોરિયાનો	_કોરિયાનો
કોરી	_કોરી
કોરેગાંવ	_કોરેગાંવ
કોરેગાંવની	_કોરેગાંવની
કોરોકોરો	_કોરોકોરો
કોર્ન	_કોર્ન
કોર્પોરેશન	_કોર્પોરેશન
કોર્બીન	_કોર્બીન
કોર્બેટ	_કોર્બેટ
કોર્સ,	_કોર્સ,
કોલ	_કોલ
કોલંબિયા,	_કોલંબિયા,
કોલંબો	_કોલંબો
કોલક	_કોલક
કોલકાતા	_કોલકાતા
કોલમ્બિયા	_કોલમ્બિયા
કોલમ્બિયાનો	_કોલમ્બિયાનો
કોલા	_કોલા
કોલાબા	_કોલાબા
કોલાર	_કોલાર
કોલાસિબ	_કોલાસિબ
કોલેજ	_કોલેજ
કોલોની	_કોલોની
કોલોરીયાંગ	_કોલોરીયાંગ
કોલોસીયમ	_કોલોસીયમ
કોલ્ડપ્લે	_કોલ્ડપ્લે
કોલ્લમ	_કોલ્લમ
કોલ્વી	_કોલ્વી
કોલ્હાપૂર	_કોલ્હાપૂર
કોળિક્કોટ્	_કોળિક્કોટ્
કોળી	_કોળી
કોળું	_કોળું
કોવાયા	_કોવાયા
કોવિંદ	_કોવિંદ
કોશી	_કોશી
કોષ	_કોષ
કોષ્ટક	_કોષ્ટક
કોસંબા	_કોસંબા
કોસાડ	_કોસાડ
કોસી	_કોસી
કોસ્ટનો	_કોસ્ટનો
કોસ્ટારિકાનો	_કોસ્ટારિકાનો
કોહલી	_કોહલી
કોહિમા	_કોહિમા
કૌંસ	_કૌંસ
કૌભાંડ	_કૌભાંડ
કૌર	_કૌર
કૌરવ	_કૌરવ
કૌલ	_કૌલ
કૌશમ્બી	_કૌશમ્બી
કૌશલ	_કૌશલ
કૌશલ્યા	_કૌશલ્યા
કૌશામ્બી	_કૌશામ્બી
કૌશિક	_કૌશિક
કૌસરનાગ	_કૌસરનાગ
કૌસ્તુભ	_કૌસ્તુભ
ક્યા	_ક્યા
ક્યુબાનો	_ક્યુબાનો
ક્યુરીયમ	_ક્યુરીયમ
ક્રમચય	_ક્રમચય
ક્રમાંક	_ક્રમાંક
ક્રાંતિ	_ક્રાંતિ
ક્રાંતિકારી	_ક્રાંતિકારી
ક્રાંતિનું	_ક્રાંતિનું
ક્રાઇસ્ટ	_ક્રાઇસ્ટ
ક્રાઇસ્ટચર્ચ	_ક્રાઇસ્ટચર્ચ
ક્રિકેટ	_ક્રિકેટ
ક્રિકેટનું	_ક્રિકેટનું
ક્રિકેટનો	_ક્રિકેટનો
ક્રિકેટમાં	_ક્રિકેટમાં
ક્રિકેટર	_ક્રિકેટર
ક્રિપ્ટોન	_ક્રિપ્ટોન
ક્રિભકો	_ક્રિભકો
ક્રિયા	_ક્રિયા
ક્રિયાવિશેષણ	_ક્રિયાવિશેષણ
ક્રિશ્નનક્યુટી	_ક્રિશ્નનક્યુટી
ક્રિષ્નામાચારી	_ક્રિષ્નામાચારી
ક્રિસમસ	_ક્રિસમસ
ક્રિસ્ટલ	_ક્રિસ્ટલ
ક્રિસ્ટાડેલ્ફિયન્સ	_ક્રિસ્ટાડેલ્ફિયન્સ
ક્રિસ્ટી	_ક્રિસ્ટી
ક્રીડાંગણ	_ક્રીડાંગણ
ક્રીપ્સ	_ક્રીપ્સ
ક્રેગ	_ક્રેગ
ક્રેડિટ	_ક્રેડિટ
ક્રોએશિયન	_ક્રોએશિયન
ક્રોએશિયા	_ક્રોએશિયા
ક્રોએશિયાનો	_ક્રોએશિયાનો
ક્રોપ	_ક્રોપ
ક્રોમ	_ક્રોમ
ક્રોમા	_ક્રોમા
ક્રોહનનો	_ક્રોહનનો
ક્લક્સ	_ક્લક્સ
ક્લબ	_ક્લબ
ક્લાન	_ક્લાન
ક્લિન્ટન	_ક્લિન્ટન
ક્લુમ	_ક્લુમ
ક્વાન	_ક્વાન
ક્વિંગઝાંગ	_ક્વિંગઝાંગ
ક્વિન	_ક્વિન
ક્વિબેક	_ક્વિબેક
ક્વીન	_ક્વીન
ક્વીન્સ	_ક્વીન્સ
ક્વીન્સલેન્ડ	_ક્વીન્સ _લેન્ડ
ક્વોન્ટિકો	_ક્વોન્ટિકો
ક્ષ-કિરણો	_ક્ષ _- _કિરણ +ો
ક્ષત્રિય	_ક્ષત્રિય
ક્ષમાવણી	_ક્ષમાવણી
ક્ષય	_ક્ષય
ક્ષારાતુ	_ક્ષારાતુ
ક્ષિપ્રા	_ક્ષિપ્રા
ક્ષેત્ર	_ક્ષેત્ર
ક્ષેત્ર,	_ક્ષેત્ર,
ક્ષેત્રના	_ક્ષેત્ર +ના
ક્ષેત્રફળ	_ક્ષેત્રફળ
ક્ષેત્રી	_ક્ષેત્ર +ી
ખંજરી	_ખંજરી
ખંડ	_ખંડ
ખંડ,	_ખંડ,
ખંડવા	_ખંડવા
ખંડાલા	_ખંડાલા
ખંડેરાવ	_ખંડેરાવ
ખંડેરિયા	_ખંડેરિયા
ખંભરા	_ખંભરા
ખંભાત	_ખંભાત
ખંભાતનો	_ખંભાતનો
ખંભાતા	_ખંભાતા
ખંભાલીડા	_ખંભાલીડા
ખંભાળિયા	_ખંભાળિયા
ખગડિયા	_ખગડિયા
ખગોળશાસ્ત્ર	_ખગોળશાસ્ત્ર
ખગોળશાસ્ત્રીઓ	_ખગોળશાસ્ત્રીઓ
ખગોળીય	_ખગોળીય
ખજરાના	_ખજરાના
ખજુરાહો	_ખજુરાહો
ખડ	_ખડ
ખડકો	_ખડકો
ખડિયા	_ખડિયા
ખડી	_ખડી
ખડોતિયા	_ખડોતિયા
ખત્રી	_ખત્રી
ખદીજા	_ખદીજા
ખનીજ	_ખનીજ
ખન્ના	_ખન્ના
ખબરદાર	_ખબરદાર
ખમણ	_ખમણ
ખમ્મમ	_ખમ્મમ
ખરગોન	_ખરગોન
ખરસાણી	_ખરસાણી
ખરસાવાં	_ખરસાવાં
ખરીફ	_ખરીફ
ખરે	_ખરે
ખરોડ	_ખરોડ
ખલખલીયો	_ખલખલીયો
ખલિલાબાદ	_ખલિલાબાદ
ખલીફા	_ખલીફા
ખલીલ	_ખલીલ
ખાંટ	_ખાંટ
ખાંડવપ્રસ્થ	_ખાંડવપ્રસ્થ
ખાંડવાળા	_ખાંડવાળા
ખાંડવી	_ખાંડવી
ખાંદેરી	_ખાંદેરી
ખાખરા	_ખાખરા
ખાખરેચી	_ખાખરેચી
ખાખરો	_ખાખરો
ખાચર	_ખાચર
ખાજા	_ખાજા
ખાટી	_ખાટી
ખાડિયા	_ખાડિયા
ખાડી	_ખાડી
ખાતર	_ખાતર
ખાદી	_ખાદી
ખાદ્ય	_ખાદ્ય
ખાન	_ખાન
ખાનદેશ	_ખાનદેશ
ખાનનો	_ખાનન +ો
ખાનપર	_ખાનપર
ખાબ,	_ખાબ,
ખારઘર	_ખારઘર
ખારવા	_ખારવા
ખારાઘોડા	_ખારાઘોડા
ખારી	_ખારી
ખારોડ	_ખારોડ
ખાલસા	_ખાલસા
ખાવડા	_ખાવડા
ખાવાનો	_ખાવાનો
ખાસી	_ખાસી
ખિરસુ	_ખિરસુ
ખિલજી	_ખિલજી
ખિલાવડ	_ખિલાવડ
ખિસકોલી	_ખિસકોલી
ખીચડી	_ખીચડી
ખીચીયું	_ખીચીયું
ખીજડીયા	_ખીજડીયા
ખીજડો	_ખીજડો
ખીણ	_ખીણ
ખીણની	_ખીણની
ખીર	_ખીર
ખીરભવાની	_ખીરભવાની
ખીરસરા	_ખીરસરા
ખીરોકિટીયા	_ખીરોકિટીયા
ખીલ	_ખીલ
ખુમાલો	_ખુમાલો
ખુરાના	_ખુરાના
ખુશરો	_ખુશરો
ખૂલ્લો	_ખૂલ્લો
ખેંગાર	_ખેંગાર
ખેચરી	_ખેચરી
ખેડબ્રહ્મા	_ખેડબ્રહ્મા
ખેડા	_ખેડા
ખેડોઈ	_ખેડોઈ
ખેતર	_ખેતર
ખેતરપાલ	_ખેતરપાલ
ખેતી	_ખેતી
ખેરખટ્ટો	_ખેરખટ્ટો
ખેરગામ	_ખેરગામ
ખેરવા	_ખેરવા
ખેરાલી	_ખેરાલી
ખેરાલુ	_ખેરાલુ
ખેરી	_ખેરી
ખેલાડી	_ખેલાડી
ખેસર	_ખેસર
ખોંડ	_ખોંડ
ખોખરા	_ખોખરા
ખોડિયાર	_ખોડિયાર
ખોડીયાર	_ખોડીયાર
ખોપાળા	_ખોપાળા
ખોરાક	_ખોરાક
ખોર્ધા	_ખોર્ધા
ખોસિત્સિલે	_ખોસિત્સિલે
ખ્મેર	_ખ્મેર
ખ્રિસ્તી	_ખ્રિસ્તી
ખ્લીહરિયત	_ખ્લીહરિયત
ગંગટોક	_ગંગટોક
ગંગા	_ગંગા
ગંગાધરપૂર	_ગંગાધરપૂર
ગંગાનગર	_ગંગાનગર
ગંગાસતી	_ગંગાસતી
ગંગુબાઇ	_ગંગુબાઇ
ગંગોત્રી	_ગંગોત્રી
ગંજબાસૌદા	_ગંજબાસૌદા
ગંજશકર	_ગંજશકર
ગંજામ	_ગંજામ
ગંડકી	_ગંડકી
ગંધક	_ગંધક
ગંભીર	_ગંભીર
ગગનમાં	_ગગનમાં
ગજણસર	_ગજણસર
ગજણા	_ગજણા
ગજપતિ	_ગજપતિ
ગજહ	_ગજહ
ગજેન્દ્ર	_ગજેન્દ્ર
ગઝલ	_ગઝલ
ગટરવ્યવસ્થા	_ગટરવ્યવસ્થા
ગડગ	_ગડગ
ગડચિરોલી	_ગડચિરોલી
ગઢ	_ગઢ
ગઢડા	_ગઢડા
ગઢવા	_ગઢવા
ગઢવાલ	_ગઢવાલ
ગઢવાલી	_ગઢવાલ +ી
ગઢવી	_ગઢવી
ગઢીયા	_ગઢીયા
ગણ	_ગણ
ગણક	_ગણક
ગણતંત્ર	_ગણતંત્ર
ગણતંત્રનો	_ગણતંત્રનો
ગણતંત્રો	_ગણતંત્ર +ો
ગણદેવી	_ગણદેવી
ગણધર	_ગણધર
ગણપત	_ગણપત
ગણપતસિંહ	_ગણપત _સિંહ
ગણરાજ્ય	_ગણરાજ્ય
ગણરાજ્યનો	_ગણરાજ્યનો
ગણાત્રા	_ગણાત્રા
ગણિત	_ગણિત
ગણિતશાસ્ત્રીઓ	_ગણિતશાસ્ત્રીઓ
ગણેશ	_ગણેશ
ગણેશન	_ગણેશન
ગદા	_ગદા
ગદ્દાફી	_ગદ્દાફી
ગન	_ગન
ગફાર	_ગફાર
ગયા	_ગયા
ગયાનાનો	_ગયાનાનો
ગરબા	_ગરબા
ગરમ	_ગરમ
ગરમાળો	_ગરમાળો
ગરીબ	_ગરીબ
ગરુડ	_ગરુડ
ગર્ગ	_ગર્ગ
ગર્જિયાદેવી	_ગર્જિયાદેવી
ગર્ભનિરોધ	_ગર્ભનિરોધ
ગર્ભપાત	_ગર્ભપાત
ગર્ભાવસ્થા	_ગર્ભાવસ્થા
ગલ્ફ	_ગલ્ફ
ગળતેશ્વર	_ગળતેશ્વર
ગળપાદર	_ગળપાદર
ગાંજાવાલા	_ગાંજાવાલા
ગાંઠ	_ગાંઠ
ગાંઠિયા	_ગાંઠિયા
ગાંઠિયો	_ગાંઠિયો
ગાંધાર	_ગાંધાર
ગાંધારપુલે	_ગાંધારપુલે
ગાંધી	_ગાંધી
ગાંધીધામ	_ગાંધીધામ
ગાંધીધામ-પાલનપુર	_ગાંધીધામ _- _પાલનપુર
ગાંધીનગર	_ગાંધીનગર
ગાગરોનનો	_ગાગરોનનો
ગાગા	_ગાગા
ગાગોદર	_ગાગોદર
ગાજણવાવ	_ગાજણવાવ
ગાજિયાબાદ	_ગાજિયાબાદ
ગાજીપુર	_ગાજીપુર
ગાઝિયાબાદ	_ગાઝિયાબાદ
ગાડીત	_ગાડીત
ગાડું	_ગાડું
ગાધકડા	_ગાધકડા
ગાના	_ગાના
ગાબોનનો	_ગાબોનનો
ગામ	_ગામ
ગામગુલ	_ગામગુલ
ગામા	_ગામા
ગામિત	_ગામિત
ગામીત	_ગામીત
ગામો	_ગામ +ો
ગાય	_ગાય
ગાયક	_ગાયક
ગાયકવાડ	_ગાયકવાડ
ગાયકવાડ્સ	_ગાયકવાડ્સ
ગાયકો	_ગાયક +ો
ગાયત્રી	_ગાયત્રી
ગાયિકા	_ગાયિકા
ગારીયાધાર	_ગારીયાધાર
ગારો	_ગારો
ગાર્ગી	_ગાર્ગી
ગાર્ડન	_ગાર્ડન
ગાર્ડન,	_ગાર્ડન,
ગાર્ડસ	_ગાર્ડસ
ગાર્દ	_ગાર્દ
ગાલિબ	_ગાલિબ
ગાલ્લે,	_ગાલ્લે,
ગાવસકર	_ગાવસકર
ગિજુભાઈ	_ગિજુભાઈ
ગિનિ	_ગિનિ
ગિનિનો	_ગિનિનો
ગિની-બિસ્સાઉનો	_ગિની _- _બિસ્સાઉનો
ગિફ્ટ	_ગિફ્ટ
ગિરણા	_ગિરણા
ગિરનાર	_ગિરનાર
ગિરનારી	_ગિરનાર +ી
ગિરા	_ગિરા
ગિરિ	_ગિરિ
ગિરિજા	_ગિરિજા
ગિરિમથકો	_ગિરિ _મથક +ો
ગિરિશ	_ગિરિશ
ગિરી	_ગિરી
ગિરીડીહ	_ગિરીડીહ
ગિલોટિન	_ગિલોટિન
ગીઝાનો	_ગીઝાનો
