!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
કરેણ	કરેણ	_કરેણ
કરેલ	કરેલ	_કરેલ
કરોડ	કરોડ	_કરોડ
કરૌલી	કરૌલી	_કરૌલી
કર્ક	કર્ક	_કર્ક
કર્કરોગ	કર્કરોગ	_કર્કરોગ
કર્ટની	કર્ટની	_કર્ટની
કર્ણ	કર્ણ	_કર્ણ
કર્ણદેવ	કર્ણદેવ	_કર્ણદેવ
કર્ણાટક	કર્ણાટક	_કર્ણાટક
કર્ણાટકના	કર્ણાટક +(ના)	_કર્ણાટક +ના
કર્ણાલી	કર્ણાલી	_કર્ણાલી
કર્તવ્ય	કર્તવ્ય	_કર્તવ્ય
કર્નાલા	કર્નાલા	_કર્નાલા
કર્મ	કર્મ	_કર્મ
કર્મનાશા	કર્મનાશા	_કર્મનાશા
કલકલીયો	કલકલીયો	_કલકલીયો
કલચુરી	કલચુરી	_કલચુરી
કલમ	કલમ	_કલમ
કલર્સ	કલર્સ	_કલર્સ
કલવેતીયો	કલવેતીયો	_કલવેતીયો
કલા	કલા	_કલા
કલાઈ	કલાઈ	_કલાઈ
કલાક	કલાક	_કલાક
કલાકાર	કલાકાર	_કલાકાર
કલાકાર/રંગ	કલાકાર/રંગ	_કલાકાર/રંગ
કલાપી	કલાપી	_કલાપી
કલામ	કલામ	_કલામ
કલાલી	કલાલી	_કલાલી
કલિંગનુ	કલિંગનુ	_કલિંગનુ
કલેક્ટર	કલેક્ટર	_કલેક્ટર
કલેશ્વરી	કલેશ્વરી	_કલેશ્વરી
કલોલ	કલોલ	_કલોલ
કલ્કિ	કલ્કિ	_કલ્કિ
કલ્પના	કલ્પના	_કલ્પના
કલ્પના-૧	કલ્પના ૧	_કલ્પના || _૧
કલ્પસર	કલ્પસર	_કલ્પસર
કલ્પેશ્વર	કલ્પેશ્વર	_કલ્પેશ્વર
કલ્યરી	કલ્યરી	_કલ્યરી
કલ્યાણજી	કલ્યાણજી	_કલ્યાણજી
કલ્યાણપુર	કલ્યાણપુર	_કલ્યાણપુર
કળથી	કળથી	_કળથી
કળવણ	કળવણ	_કળવણ
કળશ	કળશ	_કળશ
કળિયુગ	કળિયુગ	_કળિયુગ
કવચ	કવચ	_કવચ
કવર્ધા	કવર્ધા	_કવર્ધા
કવિ	કવિ	_કવિ
કવિઓ	કવિઓ	_કવિઓ
કવિતા	કવિતા	_કવિતા
કવિરાજ	કવિરાજ	_કવિરાજ
કવ્વાલી	કવ્વાલી	_કવ્વાલી
કશ્યપ	કશ્યપ	_કશ્યપ
કશ્યો	કશ્યો	_કશ્યો
કસરા	કસરા	_કસરા
કસાર	કસાર	_કસાર
કસિનો	કસિનો	_કસિનો
કસોટી	કસોટી	_કસોટી
કસોલ	કસોલ	_કસોલ
કસ્તુરબા	કસ્તુરબા	_કસ્તુરબા
કસ્તુરભાઇ	કસ્તુરભાઇ	_કસ્તુરભાઇ
કસ્તુરી	કસ્તુર* +(ી)	_કસ્તુર +ી
કસ્તુરો	કસ્તુર* +(ો)	_કસ્તુર +ો
કા	કા	_કા
કા.	કા.	_કા.
કાંકરિયા	કાંકરિયા	_કાંકરિયા
કાંકેર	કાંકેર	_કાંકેર
કાંગડા	કાંગડા	_કાંગડા
કાંગડી	કાંગડી	_કાંગડી
કાંગારુ	કાંગારુ	_કાંગારુ
કાંગેર	કાંગેર	_કાંગેર
કાંચનાર	કાંચનાર	_કાંચનાર
કાંચીપુરમ	કાંચીપુરમ	_કાંચીપુરમ
કાંટની	કાંટન* +(ી)	_કાંટન +ી
કાંટનો	કાંટન* +(ો)	_કાંટન +ો
કાંટાવાળી	કાંટાવાળી	_કાંટાવાળી
કાંડ	કાંડ	_કાંડ
કાંડા	કાંડા	_કાંડા
કાંડુ	કાંડુ	_કાંડુ
કાંતિ	કાંતિ	_કાંતિ
કાંદિવલી	કાંદિવલી	_કાંદિવલી
કાંધલવી	કાંધલવી	_કાંધલવી
કાંબલી	કાંબલી	_કાંબલી
કાઉન્ટી	કાઉન્ટી	_કાઉન્ટી
કાક	કાક	_કાક
કાકડી	કાકડી	_કાકડી
કાકર	કાકર	_કાકર
કાકરાપાર	કાકરાપાર	_કાકરાપાર
કાકાસાહેબ	કાકાસાહેબ	_કાકાસાહેબ
કાકીનાડા	કાકીનાડા	_કાકીનાડા
કાકોડકર	કાકોડકર	_કાકોડકર
કાકોરી	કાકોરી	_કાકોરી
કાગ	કાગ	_કાગ
કાગડો	કાગડો	_કાગડો
કાગળ	કાગળ	_કાગળ
કાચબરંગી	કાચબરંગી	_કાચબરંગી
કાચબા	કાચબા	_કાચબા
કાચબો	કાચબો	_કાચબો
કાચા	કાચા	_કાચા
કાચીપુરમ	કાચીપુરમ	_કાચીપુરમ
કાજલ	કાજલ	_કાજલ
કાજળ	કાજળ	_કાજળ
કાજા,	કાજા,	_કાજા,
કાજિતા	કાજિતા	_કાજિતા
કાજી	કાજી	_કાજી
કાજુ	કાજુ	_કાજુ
કાજોલ	કાજોલ	_કાજોલ
કાઝીરંગા	કાઝીરંગા	_કાઝીરંગા
કાટ	કાટ	_કાટ
કાટવર્ણી	કાટવર્ણી	_કાટવર્ણી
કાઠગોદામ	કાઠગોદામ	_કાઠગોદામ
કાઠમંડુ	કાઠમંડુ	_કાઠમંડુ
કાઠિયાવાડ	કાઠિયાવાડ	_કાઠિયાવાડ
કાઠિયાવાડી	કાઠિયાવાડ +(ી)	_કાઠિયાવાડ +ી
કાણકિયા	કાણકિયા	_કાણકિયા
કાણોદર	કાણોદર	_કાણોદર
કાતર	કાતર	_કાતર
કાતરા	કાતરા	_કાતરા
કાત્યાયની	કાત્યાયની	_કાત્યાયની
કાત્રજ	કાત્રજ	_કાત્રજ
કાદરી	કાદરી	_કાદરી
કાદુ	કાદુ	_કાદુ
કાન	કાન	_કાન
કાનજી	કાનજી	_કાનજી
કાનજીભાઇ	કાનજીભાઇ	_કાનજીભાઇ
કાનપરિયા	કાનપરિયા	_કાનપરિયા
કાનપુર	કાનપુર	_કાનપુર
કાનપુરનો	કાનપુરનો	_કાનપુરનો
કાનમેર	કાનમેર	_કાનમેર
કાનસીયો	કાનસીયો	_કાનસીયો
કાનાજી	કાનાજી	_કાનાજી
કાનાવડાળા	કાનાવડાળા	_કાનાવડાળા
કાનુગો	કાનુગો	_કાનુગો
કાનેરી	કાનેરી	_કાનેરી
કાન્તા	કાન્તા	_કાન્તા
કાન્હેરી	કાન્હેરી	_કાન્હેરી
કાન્હોજી	કાન્હોજી	_કાન્હોજી
કાપડીઆ	કાપડીઆ	_કાપડીઆ
કાફકા	કાફકા	_કાફકા
કાફિર	કાફિર	_કાફિર
કાબર	કાબર	_કાબર
કાબરી	કાબર +(ી)	_કાબર +ી
કાબરો	કાબર +(ો)	_કાબર +ો
કાબુલ	કાબુલ	_કાબુલ
કામ	કામ	_કામ
કામદા	કામદા	_કામદા
કામદાર	કામદાર	_કામદાર
કામદારોનો	કામદારોનો	_કામદારોનો
કામધેનુ	કામધેનુ	_કામધેનુ
કામરુ,	કામરુ,	_કામરુ,
કામરુપ	કામરુપ	_કામરુપ
કામરેજ	કામરેજ	_કામરેજ
કામસૂત્ર	કામસૂત્ર	_કામસૂત્ર
કામા	કામા	_કામા
કામારપુકુર	કામારપુકુર	_કામારપુકુર
કામિની	કામિની	_કામિની
કામેશ્વરસિંહ	કામેશ્વરસિંહ	_કામેશ્વરસિંહ
કામ્ટે	કામ્ટે	_કામ્ટે
કાયદો	કાયદો	_કાયદો
કાયલા	કાયલા	_કાયલા
કાયલાના	કાયલા +(ના)	_કાયલા +ના
કાયામ્બે	કાયામ્બે	_કાયામ્બે
કાયાવરોહણ	કાયાવરોહણ	_કાયાવરોહણ
કાર	કાર	_કાર
કારકાટ	કારકાટ	_કારકાટ
કારખાનું	કારખાનું	_કારખાનું
કારગિલ	કારગિલ	_કારગિલ
કારડીયા	કારડીયા	_કારડીયા
કારતક	કારતક	_કારતક
કારવાર	કારવાર	_કારવાર
કારા	કારા	_કારા
કારાકાસ	કારાકાસ	_કારાકાસ
કારાકોરમ	કારાકોરમ	_કારાકોરમ
કારાગૃહ	કારાગૃહ	_કારાગૃહ
કારેલું	કારેલું	_કારેલું
કારેશ્વર	કારેશ્વર	_કારેશ્વર
કારોલ	કારોલ	_કારોલ
કાર્ટેન	કાર્ટેન	_કાર્ટેન
કાર્ડ	કાર્ડ	_કાર્ડ
કાર્ડામોમ	કાર્ડામોમ	_કાર્ડામોમ
કાર્ડિફ	કાર્ડિફ	_કાર્ડિફ
કાર્તિકેય	કાર્તિકેય	_કાર્તિકેય
કાર્તિકેયન	કાર્તિકેયન	_કાર્તિકેયન
કાર્નેગી	કાર્નેગી	_કાર્નેગી
કાર્બન	કાર્બન	_કાર્બન
કાર્બી	કાર્બી	_કાર્બી
કાર્બ્યુરેટર	કાર્બ્યુરેટર	_કાર્બ્યુરેટર
કાર્યક્રમ	કાર્યક્રમ	_કાર્યક્રમ
કાર્યરીતિ	કાર્યરીતિ	_કાર્યરીતિ
કાર્લ	કાર્લ	_કાર્લ
કાર્લસન	કાર્લસન	_કાર્લસન
કાર્વેપાલનચોક	કાર્વેપાલનચોક	_કાર્વેપાલનચોક
કાલ	કાલ	_કાલ
કાલકા-શિમલા	કાલકા શિમલા	_કાલકા || _શિમલા
કાલદુર્ગ	કાલદુર્ગ	_કાલદુર્ગ
કાલરાત્રિ	કાલરાત્રિ	_કાલરાત્રિ
કાલા	કાલા	_કાલા
કાલાવડ	કાલાવડ	_કાલાવડ
કાલિ	કાલિ	_કાલિ
કાલિકા	કાલિકા	_કાલિકા
કાલિકોટ	કાલિકોટ	_કાલિકોટ
કાલિદાસ	કાલિદાસ	_કાલિદાસ
કાલિન્દી	કાલિન્દી	_કાલિન્દી
કાલિમપોંગ	કાલિમપોંગ	_કાલિમપોંગ
કાલી	કાલી	_કાલી
કાલીસ	કાલીસ	_કાલીસ
કાલુપુર	કાલુપુર	_કાલુપુર
કાલેલકર	કાલેલકર	_કાલેલકર
કાલોલ	કાલોલ	_કાલોલ
કાલ્પનિક	કાલ્પનિક	_કાલ્પનિક
કાળ	કાળ	_કાળ
કાળના	કાળ +(ના)	_કાળ +ના
કાળહસ્તી	કાળહસ્તી	_કાળહસ્તી
કાળા	કાળા	_કાળા
કાળિયાર	કાળિયાર	_કાળિયાર
કાળી	કાળ +(ી)	_કાળ +ી
કાળુભાર	કાળુભાર	_કાળુભાર
કાળો	કાળ +(ો)	_કાળ +ો
કાવા	કાવા	_કાવા
કાવો	કાવો	_કાવો
કાશી	કાશી	_કાશી
કાશ્મીર	કાશ્મીર	_કાશ્મીર
કાશ્મીરના	કાશ્મીર +(ના)	_કાશ્મીર +ના
કાશ્મીરનાં	કાશ્મીરનાં	_કાશ્મીરનાં
કાશ્મીરી	કાશ્મીર +(ી)	_કાશ્મીર +ી
કાસગંજ	કાસગંજ	_કાસગંજ
કાસરગોડ	કાસરગોડ	_કાસરગોડ
કાસરવલ્લી	કાસરવલ્લી	_કાસરવલ્લી
કાસાગ્રાન્ડ	કાસાગ્રાન્ડ	_કાસાગ્રાન્ડ
કાસિમ	કાસિમ	_કાસિમ
કાસુંદરી	કાસુંદરી	_કાસુંદરી
કાસ્કી	કાસ્કી	_કાસ્કી
કાસ્ટ્રો	કાસ્ટ્રો	_કાસ્ટ્રો
કિંગ	કિંગ	_કિંગ
કિંગડમ	કિંગડમ	_કિંગડમ
કિંગ્‍સલી	કિંગ્‍સલી	_કિંગ્‍સલી
કિંચક	કિંચક	_કિંચક
કિટકશાસ્ત્ર	કિટકશાસ્ત્ર	_કિટકશાસ્ત્ર
કિનારીવાલા	કિનારીવાલા	_કિનારીવાલા
કિન્નોર	કિન્નોર	_કિન્નોર
કિપલિંગ	કિપલિંગ	_કિપલિંગ
કિબ્બર	કિબ્બર	_કિબ્બર
કિરણ	કિરણ	_કિરણ
કિરમાણી	કિરમાણી	_કિરમાણી
કિરિબાતીનો	કિરિબાતીનો	_કિરિબાતીનો
કિર્ગિઝ	કિર્ગિઝ	_કિર્ગિઝ
કિર્ગિસ્તાનનો	કિર્ગિસ્તાનનો	_કિર્ગિસ્તાનનો
કિર્તન	કિર્તન	_કિર્તન
કિર્તિ	કિર્તિ	_કિર્તિ
કિર્સ્ટન	કિર્સ્ટન	_કિર્સ્ટન
કિલ્લાઓ	કિલ્લાઓ	_કિલ્લાઓ
કિલ્લો	કિલ્લો	_કિલ્લો
કિલ્લો,	કિલ્લો,	_કિલ્લો,
કિશન	કિશન	_કિશન
કિશનગંજ	કિશનગંજ	_કિશનગંજ
કિશોર	કિશોર	_કિશોર
કિષ્કિંધા	કિષ્કિંધા	_કિષ્કિંધા
કિસ્સા	કિસ્સા	_કિસ્સા
કિહોટે	કિહોટે	_કિહોટે
કી	કી	_કી
કીઆન	કીઆન	_કીઆન
કીઝ	કીઝ	_કીઝ
કીટ	કીટ	_કીટ
કીટલી	કીટલી	_કીટલી
કીડી	કીડી	_કીડી
કીડીઘર	કીડીઘર	_કીડીઘર
કીપર	કીપર	_કીપર
કીબોર્ડ	કીબોર્ડ	_કીબોર્ડ
કીમ	કીમ	_કીમ
કીર્તિ	કીર્તિ	_કીર્તિ
કીશીભાઇ	કીશીભાઇ	_કીશીભાઇ
કુ	કુ	_કુ
કુ.	કુ.	_કુ.
કુંજ	કુંજ	_કુંજ
કુંજ,	કુંજ,	_કુંજ,
કુંડ	કુંડ	_કુંડ
કુંડ,	કુંડ,	_કુંડ,
કુંતાશી	કુંતાશી	_કુંતાશી
કુંતી	કુંતી	_કુંતી
કુંથુનાથ	કુંથુનાથ	_કુંથુનાથ
કુંદનલાલ	કુંદનલાલ	_કુંદનલાલ
કુંભ	કુંભ	_કુંભ
કુંભકર્ણ	કુંભ કર્ણ	_કુંભ || _કર્ણ
કુંભરલી	કુંભરલી	_કુંભરલી
કુંભલગઢ	કુંભલગઢ	_કુંભલગઢ
કુંભાર	કુંભાર	_કુંભાર
કુંભારીયા	કુંભારીયા	_કુંભારીયા
કુંવારપાઠું	કુંવારપાઠું	_કુંવારપાઠું
કુકમા	કુકમા	_કુકમા
કુકરમુંડા	કુકરમુંડા	_કુકરમુંડા
કુચાઇકોટ	કુચાઇકોટ	_કુચાઇકોટ
કુચિપુડી	કુચિપુડી	_કુચિપુડી
કુટુંબ	કુટુંબ	_કુટુંબ
કુણાલ	કુણાલ	_કુણાલ
કુતિયાણા	કુતિયાણા	_કુતિયાણા
કુતુબ	કુતુબ	_કુતુબ
કુતુબુદ્દીન	કુતુબુદ્દીન	_કુતુબુદ્દીન
કુત્બુદ્દીન	કુત્બુદ્દીન	_કુત્બુદ્દીન
કુદરત	કુદરત	_કુદરત
કુદરતી	કુદરત +(ી)	_કુદરત +ી
કુને	કુને	_કુને
કુન્દનિકા	કુન્દનિકા	_કુન્દનિકા
કુન્નુર	કુન્નુર	_કુન્નુર
કુપવાડા	કુપવાડા	_કુપવાડા
કુપોષણ	કુપોષણ	_કુપોષણ
કુફરી	કુફરી	_કુફરી
કુબેર	કુબેર	_કુબેર
કુમાઉં	કુમાઉં	_કુમાઉં
કુમાઉની	કુમાઉની	_કુમાઉની
કુમાર	કુમાર	_કુમાર
કુમારપાળ	કુમારપાળ	_કુમારપાળ
કુમારી	કુમાર +(ી)	_કુમાર +ી
કુમે	કુમે	_કુમે
કુરજીભાઇ	કુરજીભાઇ	_કુરજીભાઇ
કુરસુરા	કુરસુરા	_કુરસુરા
કુરાન	કુરાન	_કુરાન
કુરાન્ડા	કુરાન્ડા	_કુરાન્ડા
કુરિયન	કુરિયન	_કુરિયન
કુરુંગ	કુરુંગ	_કુરુંગ
કુરુક્ષેત્ર	કુરુક્ષેત્ર	_કુરુક્ષેત્ર
કુર્કુટાકાર	કુર્કુટાકાર	_કુર્કુટાકાર
કુર્નિકોવા	કુર્નિકોવા	_કુર્નિકોવા
કુર્નૂલ	કુર્નૂલ	_કુર્નૂલ
કુર્સી	કુર્સી	_કુર્સી
કુલકર્ણી	કુલકર્ણી	_કુલકર્ણી
કુલદીપ	કુલદીપ	_કુલદીપ
કુલધારા,	કુલધારા,	_કુલધારા,
કુલ્લૂ	કુલ્લૂ	_કુલ્લૂ
કુળ	કુળ	_કુળ
કુળો	કુળ +(ો)	_કુળ +ો
કુવૈત	કુવૈત	_કુવૈત
કુવૈતનો	કુવૈતનો	_કુવૈતનો
કુશ	કુશ	_કુશ
કુશધ્વજ	કુશધ્વજ	_કુશધ્વજ
કુશીનગર	કુશીનગર	_કુશીનગર
કુશોક	કુશોક	_કુશોક
કુસુમમાળા	કુસુમમાળા	_કુસુમમાળા
કુસ્તી	કુસ્તી	_કુસ્તી
કુહાડી	કુહાડી	_કુહાડી
કૂકડિયો	કૂકડિયો	_કૂકડિયો
કૂકડો	કૂકડો	_કૂકડો
કૂચબિહાર	કૂચબિહાર	_કૂચબિહાર
કૂતરો	કૂતરો	_કૂતરો
કૂવા	કૂવા	_કૂવા
કૂવો	કૂવો	_કૂવો
કૂષ્માંડા	કૂષ્માંડા	_કૂષ્માંડા
કૃતજ્ઞતા	કૃતજ્ઞતા	_કૃતજ્ઞતા
કૃતવર્મા	કૃતવર્મા	_કૃતવર્મા
કૃત્રિમ	કૃત્રિમ	_કૃત્રિમ
કૃપ	કૃપ	_કૃપ
કૃપામૃત્યુ	કૃપામૃત્યુ	_કૃપામૃત્યુ
કૃષિ	કૃષિ	_કૃષિ
કૃષિવિજ્ઞાન	કૃષિ વિજ્ઞાન	_કૃષિ || _વિજ્ઞાન
કૃષ્ણ	કૃષ્ણ	_કૃષ્ણ
કૃષ્ણકુમારસિંહ	કૃષ્ણ કુમાર સિંહ	_કૃષ્ણ || _કુમાર || _સિંહ
કૃષ્ણગંગા	કૃષ્ણ ગંગા	_કૃષ્ણ || _ગંગા
કૃષ્ણદાસ	કૃષ્ણદાસ	_કૃષ્ણદાસ
કૃષ્ણમૂર્તિ	કૃષ્ણ મૂર્તિ	_કૃષ્ણ || _મૂર્તિ
કૃષ્ણલાલ	કૃષ્ણલાલ	_કૃષ્ણલાલ
કૃષ્ણા	કૃષ્ણા	_કૃષ્ણા
કૃષ્ણાગિરિ	કૃષ્ણાગિરિ	_કૃષ્ણાગિરિ
કૃષ્ણાવતાર	કૃષ્ણાવતાર	_કૃષ્ણાવતાર
કૅટરિના	કૅટરિના	_કૅટરિના
કે	કે	_કે
કે-૪૭	કે ૪૭	_કે || _૪૭
કે.	કે.	_કે.
કે.લાલ	કે.લાલ	_કે.લાલ
કેઓરાપેત્સે	કેઓરાપેત્સે	_કેઓરાપેત્સે
કેચુઆ	કેચુઆ	_કેચુઆ
કેટ	કેટ	_કેટ
કેડમિયમ	કેડમિયમ	_કેડમિયમ
કેતન	કેતન	_કેતન
કેથરિન	કેથરિન	_કેથરિન
કેથોલિક	કેથોલિક	_કેથોલિક
કેદારકંઠ	કેદારકંઠ	_કેદારકંઠ
કેદારનાથ	કેદારનાથ	_કેદારનાથ
કેન	કેન	_કેન
કેનાલ	કેનાલ	_કેનાલ
કેનેડા	કેનેડા	_કેનેડા
કેનેડાનો	કેનેડાનો	_કેનેડાનો
કેન્ટ	કેન્ટ	_કેન્ટ
કેન્ટોનમેન્ટ	કેન્ટોનમેન્ટ	_કેન્ટોનમેન્ટ
કેન્ડી,	કેન્ડી,	_કેન્ડી,
કેન્દુઝર	કેન્દુઝર	_કેન્દુઝર
કેન્દ્ર	કેન્દ્ર	_કેન્દ્ર
કેન્દ્રશાસિત	કેન્દ્રશાસિત	_કેન્દ્રશાસિત
કેન્દ્રાપડા	કેન્દ્રાપડા	_કેન્દ્રાપડા
કેન્દ્રીય	કેન્દ્રીય	_કેન્દ્રીય
કેન્યા	કેન્યા	_કેન્યા
કેન્યાનો	કેન્યાનો	_કેન્યાનો
કેન્સાસ	કેન્સાસ	_કેન્સાસ
કેપ	કેપ	_કેપ
કેપ્લર-૪૫૨બી	કેપ્લર ૪૫૨બી	_કેપ્લર || _૪૫૨બી
કેબલ	કેબલ	_કેબલ
કેમરૂનનો	કેમરૂનનો	_કેમરૂનનો
કેમેરૂન	કેમેરૂન	_કેમેરૂન
કેમ્પબેલ	કેમ્પબેલ	_કેમ્પબેલ
કેમ્પર્સ	કેમ્પર્સ	_કેમ્પર્સ
કેમ્બ્રિજ	કેમ્બ્રિજ	_કેમ્બ્રિજ
કેમ્યૂ	કેમ્યૂ	_કેમ્યૂ
કેરડા	કેરડા	_કેરડા
કેરમ	કેરમ	_કેરમ
કેરળ	કેરળ	_કેરળ
કેરળના	કેરળ +(ના)	_કેરળ +ના
કેરવાડા	કેરવાડા	_કેરવાડા
કેરા	કેરા	_કેરા
કેરિબિયન	કેરિબિયન	_કેરિબિયન
કેરિયર	કેરિયર	_કેરિયર
કેરી	કેરી	_કેરી
કેરેબિયન	કેરેબિયન	_કેરેબિયન
કેરોલિના	કેરોલિના	_કેરોલિના
કેલર	કેલર	_કેલર
કેલિકો	કેલિકો	_કેલિકો
કેલિફોર્નિયા	કેલિફોર્નિયા	_કેલિફોર્નિયા
કેલિફોર્નીયમ	કેલિફોર્નીયમ	_કેલિફોર્નીયમ
કેલેન્ડર	કેલેન્ડર	_કેલેન્ડર
કેલોન્ગ	કેલોન્ગ	_કેલોન્ગ
કેલ્વિન	કેલ્વિન	_કેલ્વિન
કેલ્શિયમ	કેલ્શિયમ	_કેલ્શિયમ
કેળ	કેળ	_કેળ
કેળવણીકાર	કેળવણીકાર	_કેળવણીકાર
કેળાં	કેળાં	_કેળાં
કેવલાદેવ	કેવલાદેવ	_કેવલાદેવ
કેવળ	કેવળ	_કેવળ
કેવી	કેવી	_કેવી
કેશગઢ	કેશગઢ	_કેશગઢ
કેશવપ્રસાદ	કેશવપ્રસાદ	_કેશવપ્રસાદ
કેશવલાલ	કેશવલાલ	_કેશવલાલ
કેશુભાઈ	કેશુભાઈ	_કેશુભાઈ
કેશોદ	કેશોદ	_કેશોદ
કેસ	કેસ	_કેસ
કેસર	કેસર	_કેસર
કેસરી	કેસર +(ી)	_કેસર +ી
કેસીંપા	કેસીંપા	_કેસીંપા
કેસેટ	કેસેટ	_કેસેટ
કેસ્પિયન	કેસ્પિયન	_કેસ્પિયન
કૈકેયી	કૈકેયી	_કૈકેયી
કૈથલ	કૈથલ	_કૈથલ
કૈફ	કૈફ	_કૈફ
કૈફાઇર	કૈફાઇર	_કૈફાઇર
કૈમૂર	કૈમૂર	_કૈમૂર
કૈરો	કૈરો	_કૈરો
કૈલાલી	કૈલાલી	_કૈલાલી
કૈલાશ	કૈલાશ	_કૈલાશ
કૈલાશપતિ	કૈલાશપતિ	_કૈલાશપતિ
કૈલાસનાથ	કૈલાસનાથ	_કૈલાસનાથ
કૉમન્સ	કૉમન્સ	_કૉમન્સ
કૉમિક્સ	કૉમિક્સ	_કૉમિક્સ
કૉલેજ	કૉલેજ	_કૉલેજ
કો	કો	_કો
કો-ઍક્સિયલ	કો ઍક્સિયલ	_કો || _ઍક્સિયલ
કો-તક-ઇન	કો તક ઇન	_કો || _તક || _ઇન
કોંકણ	કોંકણ	_કોંકણ
કોંકણી	કોંકણ +(ી)	_કોંકણ +ી
કોંગો	કોંગો	_કોંગો
કોંગોનું	કોંગોનું	_કોંગોનું
કોંગ્રેસ	કોંગ્રેસ	_કોંગ્રેસ
કોંગ્રેસ/મેટા/રંગ	કોંગ્રેસ/મેટા/રંગ	_કોંગ્રેસ/મેટા/રંગ
કોઇમ્બતુર	કોઇમ્બતુર	_કોઇમ્બતુર
કોકમ	કોકમ	_કોકમ
કોકરાઝાર	કોકરાઝાર	_કોકરાઝાર
કોકલીયર	કોકલીયર	_કોકલીયર
કોકા	કોકા	_કોકા
કોકિંગ	કોકિંગ	_કોકિંગ
કોકિલાકાર	કોકિલાકાર	_કોકિલાકાર
કોકોસ	કોકોસ	_કોકોસ
કોચ	કોચ	_કોચ
કોચરબ	કોચરબ	_કોચરબ
કોચી	કોચ +(ી)	_કોચ +ી
કોઝવે,	કોઝવે,	_કોઝવે,
કોઝીક્કોડ	કોઝીક્કોડ	_કોઝીક્કોડ
કોટક	કોટક	_કોટક
કોટા	કોટા	_કોટા
કોટાય	કોટાય	_કોટાય
કોટેશ્વર	કોટેશ્વર	_કોટેશ્વર
કોટ્ટયમ	કોટ્ટયમ	_કોટ્ટયમ
કોઠ	કોઠ	_કોઠ
કોઠારા	કોઠારા	_કોઠારા
કોઠારી	કોઠારી	_કોઠારી
કોઠારીયાતા.રાજકોટ	કોઠારીયાતા.રાજકોટ	_કોઠારીયાતા.રાજકોટ
કોડ	કોડ	_કોડ
કોડકી	કોડકી	_કોડકી
કોડરમા	કોડરમા	_કોડરમા
કોડાગુ	કોડાગુ	_કોડાગુ
કોડાયકેનલ	કોડાયકેનલ	_કોડાયકેનલ
કોડિઆક	કોડિઆક	_કોડિઆક
કોડીનાર	કોડીનાર	_કોડીનાર
કોણાર્ક	કોણાર્ક	_કોણાર્ક
કોથમીર	કોથમીર	_કોથમીર
કોદરા	કોદરા	_કોદરા
કોદાળી	કોદાળી	_કોદાળી
કોદિયા	કોદિયા	_કોદિયા
કોનકોર્ડ	કોનકોર્ડ	_કોનકોર્ડ
કોન્સ્ટેન્ટીનોપલ	કોન્સ્ટેન્ટીનોપલ	_કોન્સ્ટેન્ટીનોપલ
કોપરનિસીયમ	કોપરનિસીયમ	_કોપરનિસીયમ
કોપ્પલ	કોપ્પલ	_કોપ્પલ
કોબાલ્ટ	કોબાલ્ટ	_કોબાલ્ટ
કોમ	કોમ	_કોમ
કોમોરોસનો	કોમોરોસનો	_કોમોરોસનો
કોમ્પ્યુટર	કોમ્પ્યુટર	_કોમ્પ્યુટર
કોમ્પ્યુટરના	કોમ્પ્યુટર +(ના)	_કોમ્પ્યુટર +ના
કોયના	કોયના	_કોયના
કોયલ	કોયલ	_કોયલ
કોરબા	કોરબા	_કોરબા
કોરાપુટ	કોરાપુટ	_કોરાપુટ
કોરિયા	કોરિયા	_કોરિયા
કોરિયાનો	કોરિયાનો	_કોરિયાનો
કોરી	કોરી	_કોરી
કોરેગાંવ	કોરેગાંવ	_કોરેગાંવ
કોરેગાંવની	કોરેગાંવની	_કોરેગાંવની
કોરોકોરો	કોરોકોરો	_કોરોકોરો
કોર્ન	કોર્ન	_કોર્ન
કોર્પોરેશન	કોર્પોરેશન	_કોર્પોરેશન
કોર્બીન	કોર્બીન	_કોર્બીન
કોર્બેટ	કોર્બેટ	_કોર્બેટ
કોર્સ,	કોર્સ,	_કોર્સ,
કોલ	કોલ	_કોલ
કોલંબિયા,	કોલંબિયા,	_કોલંબિયા,
કોલંબો	કોલંબો	_કોલંબો
કોલક	કોલક	_કોલક
કોલકાતા	કોલકાતા	_કોલકાતા
કોલમ્બિયા	કોલમ્બિયા	_કોલમ્બિયા
કોલમ્બિયાનો	કોલમ્બિયાનો	_કોલમ્બિયાનો
કોલા	કોલા	_કોલા
કોલાબા	કોલાબા	_કોલાબા
કોલાર	કોલાર	_કોલાર
કોલાસિબ	કોલાસિબ	_કોલાસિબ
કોલેજ	કોલેજ	_કોલેજ
કોલોની	કોલોની	_કોલોની
કોલોરીયાંગ	કોલોરીયાંગ	_કોલોરીયાંગ
કોલોસીયમ	કોલોસીયમ	_કોલોસીયમ
કોલ્ડપ્લે	કોલ્ડપ્લે	_કોલ્ડપ્લે
કોલ્લમ	કોલ્લમ	_કોલ્લમ
કોલ્વી	કોલ્વી	_કોલ્વી
કોલ્હાપૂર	કોલ્હાપૂર	_કોલ્હાપૂર
કોળિક્કોટ્	કોળિક્કોટ્	_કોળિક્કોટ્
કોળી	કોળી	_કોળી
